"","sampledate","cyano_relbiovol","CD_cellsmL","SD_m","Yr","daynum"
"37",1996-09-05,95.995,106038.4922,2.8,1996,249
"38",1996-09-16,NA,NA,2.2,1996,260
"39",1996-09-17,85.679,132349.3313,NA,1996,261
"40",1996-10-16,85.18,21913.7735,4.6,1996,290
"41",1996-11-08,NA,NA,4,1996,313
"42",1996-11-25,4.155,17023.5081,3.6,1996,330
"43",1997-01-14,NA,NA,3.5,1997,14
"44",1997-02-17,15.846,4137.634,4.9,1997,48
"45",1997-04-09,0.306,13202.281,2.7,1997,99
"46",1997-04-21,NA,NA,3.3,1997,111
"47",1997-05-02,NA,NA,3.2,1997,122
"48",1997-05-13,2.943,5794.7976,6.2,1997,133
"49",1997-05-28,4.307,5187.884,4.1,1997,148
"50",1997-06-11,NA,NA,5.6,1997,162
"51",1997-06-25,NA,NA,4.3,1997,176
"52",1997-07-09,72.787,203194.4241,4.3,1997,190
"53",1997-07-23,57.956,371703.4433,NA,1997,204
"54",1997-07-24,NA,NA,2.8,1997,205
"55",1997-08-06,94.759,68954.3062,2.8,1997,218
"56",1997-08-18,93.615,293552.1864,2.8,1997,230
"57",1997-09-02,96.769,147181.395,2.6,1997,245
"58",1997-09-30,59.481,221687.8828,NA,1997,273
"59",1997-10-01,NA,NA,2,1997,274
"60",1997-10-30,22.192,29036.7939,2.8,1997,303
"61",1997-11-30,54.927,21348.6891,5.7,1997,334
"62",1998-02-06,1.846,1936.232,13.4,1998,37
"63",1998-03-06,NA,NA,3,1998,65
"64",1998-03-13,0.096,5949.334,2.1,1998,72
"65",1998-03-26,0.616,14804.521,2.5,1998,85
"66",1998-04-10,0.914,4624.2252,3.1,1998,100
"67",1998-04-24,0.163,8176.151,1.2,1998,114
"68",1998-05-11,NA,NA,11.1,1998,131
"69",1998-05-28,NA,NA,4.1,1998,148
"70",1998-06-08,NA,NA,6.5,1998,159
"71",1998-06-22,NA,NA,3.8,1998,173
"72",1998-07-06,99.433,306062.1357,2,1998,187
"73",1998-07-23,95.066,565643.8773,1.8,1998,204
"74",1998-08-02,95.476,533251.9981,2.1,1998,214
"75",1998-08-18,97.752,955672.6989,1.8,1998,230
"76",1998-09-02,97.377,523884.0608,2.2,1998,245
"77",1998-09-28,95.354,471842.2271,3.6,1998,271
"78",1998-10-27,10.942,107540.4222,2.9,1998,300
"79",1998-11-23,16.698,14874.233,4,1998,327
"80",1999-01-25,50.871,26254.6137,7.1,1999,25
"81",1999-02-22,7.571,8212.18,7.2,1999,53
"82",1999-03-29,0.529,8436.132,2.5,1999,88
"83",1999-04-12,1.829,6521.8179,7,1999,102
"84",1999-04-26,88.148,5331.8145,10.5,1999,116
"85",1999-05-10,33.765,11034.065,5.3,1999,130
"86",1999-05-26,39.496,8540.083,5.7,1999,146
"87",1999-06-07,66.979,41903.6365,7.2,1999,158
"88",1999-06-21,98.411,1285412.6827,2.6,1999,172
"89",1999-07-06,98.461,657624.5529,2,1999,187
"90",1999-07-19,99.68,197940.5156,2.1,1999,200
"91",1999-08-02,71.079,268867.9488,2.4,1999,214
"92",1999-08-16,94.928,175593.6414,2.4,1999,228
"93",1999-08-30,64.242,553413.1197,2.4,1999,242
"94",1999-09-27,69.439,88925.5785,2.3,1999,270
"95",1999-10-07,NA,NA,2,1999,280
"96",1999-10-26,77.434,122659.5264,2,1999,299
"97",1999-11-22,52.938,53463.4188,3.5,1999,326
"98",2000-01-24,7.562,8191.8989,4.5,2000,24
"99",2000-02-28,4.176,14327.421,8.8,2000,59
"100",2000-03-13,14.232,17956.36,5,2000,73
"101",2000-03-29,1.264,22398.12,2.5,2000,89
"102",2000-04-10,5.939,17085.4399,3.1,2000,101
"103",2000-04-25,7.11,12623.0703,6.2,2000,116
"104",2000-05-09,NA,NA,4.5,2000,130
"105",2000-05-10,47.692,24999.2698,NA,2000,131
"106",2000-05-22,74.674,20843.8927,5.5,2000,143
"107",2000-06-06,75.234,53383.6154,3,2000,158
"108",2000-06-19,99.015,183742.7345,4.1,2000,171
"109",2000-07-03,94.648,84208.6204,4,2000,185
"110",2000-07-17,97.289,207800.6269,1.3,2000,199
"111",2000-07-31,42.617,5820.3603,1.9,2000,213
"112",2000-08-16,98.967,212319.2137,1.4,2000,229
"113",2000-08-28,98.778,346235.0471,1.2,2000,241
"114",2000-09-25,76.604,131904.2921,2.4,2000,269
"115",2000-10-24,57.937,26825.3443,5.2,2000,298
"116",2000-11-28,NA,NA,4.3,2000,333
"117",2001-01-17,35.391,6574.273,5.6,2001,17
"118",2001-03-07,1.918,18017.893,2.5,2001,66
"119",2001-04-10,0.414,15448.195,3,2001,100
"120",2001-04-23,4.599,18408.734,2.5,2001,113
"121",2001-05-07,7.685,3220.978,9,2001,127
"122",2001-05-21,35.167,7516.3956,4.3,2001,141
"123",2001-06-04,53.805,7332.1164,5.8,2001,155
"124",2001-06-18,53.43,1011.1062,3.4,2001,169
"125",2001-07-02,99.771,129369.2666,2,2001,183
"126",2001-07-16,98.742,78217.5676,1.8,2001,197
"127",2001-07-30,95.459,411855.7019,2,2001,211
"128",2001-08-13,96.655,426205.5732,1.4,2001,225
"129",2001-08-27,86.241,386585.8388,1.75,2001,239
"130",2001-09-26,77.712,269347.477,1.3,2001,269
"131",2001-10-22,32.482,16978.2204,5.5,2001,295
"132",2001-11-26,3.468,14184.1505,3.1,2001,330
"133",2001-11-28,60.176,13449.2672,NA,2001,332
"134",2002-03-28,5.881,34080.8865,2.2,2002,87
"135",2002-04-08,2.167,26091.0614,2.5,2002,98
"136",2002-04-24,8.421,14580.0095,4.6,2002,114
"137",2002-05-06,41.789,5919.6456,6.3,2002,126
"138",2002-05-20,32.136,4938.7777,6.6,2002,140
"139",2002-06-03,45.032,5286.0734,4.9,2002,154
"140",2002-06-18,NA,NA,6.5,2002,169
"141",2002-06-19,21.626,20924.6395,NA,2002,170
"142",2002-07-01,85.334,113895.0414,2.3,2002,182
"143",2002-07-15,92.295,1000789.0516,1.9,2002,196
"144",2002-07-26,98.535,925569.0158,1.6,2002,207
"145",2002-08-12,98.869,1412804.3391,1.2,2002,224
"146",2002-08-26,98.057,1341690.3253,1.7,2002,238
"147",2002-09-23,NA,NA,1.5,2002,266
"148",2002-10-21,NA,NA,3,2002,294
"149",2002-11-18,NA,NA,3.5,2002,322
"150",2003-01-21,0.52,11100.9966,10.2,2003,21
"151",2003-04-03,14.848,7767.202,6.4,2003,93
"152",2003-04-14,2.812,13534.3816,3.2,2003,104
"153",2003-04-28,47.099,5946.2138,5.5,2003,118
"154",2003-05-03,3.367,4341.7731,NA,2003,123
"155",2003-05-13,NA,NA,6.6,2003,133
"156",2003-05-27,31.677,7979.4124,5,2003,147
"157",2003-06-09,NA,NA,4.2,2003,160
"158",2003-06-23,NA,NA,2,2003,174
"159",2003-07-07,NA,NA,4.9,2003,188
"160",2003-07-24,NA,NA,4.6,2003,205
"161",2003-08-04,93.482,194784.6519,2.4,2003,216
"162",2003-08-18,89.19,255302.3304,1.7,2003,230
"163",2003-09-02,95.973,287790.714,2.3,2003,245
"164",2003-09-29,71.726,134953.1966,2,2003,272
"165",2003-10-27,36.148,44224.9508,6,2003,300
"166",2003-11-25,86.558,22005.2722,3.5,2003,329
"167",2004-02-03,NA,NA,5.2,2004,34
"168",2004-02-05,10.619,4862.338,NA,2004,36
"169",2004-03-29,0.96,22186.0898,2.9,2004,89
"170",2004-04-12,0.655,15298.4394,2.7,2004,103
"171",2004-04-26,23.909,8940.6686,NA,2004,117
"172",2004-04-28,NA,NA,6.3,2004,119
"173",2004-05-10,35.049,7543.3085,10.1,2004,131
"174",2004-05-24,80.43,17247.9499,3,2004,145
"175",2004-06-07,82.554,14323.6668,5.5,2004,159
"176",2004-06-21,96.956,129759.4191,3.75,2004,173
"177",2004-07-06,NA,NA,2.6,2004,188
"178",2004-07-07,93.637,135543.4321,NA,2004,189
"179",2004-07-19,99.106,110940.1388,2.4,2004,201
"180",2004-08-03,98.266,111644.2325,2.3,2004,216
"181",2004-08-16,98.515,117041.8059,1.6,2004,229
"182",2004-09-07,87.215,79042.9628,2.2,2004,251
"183",2004-10-05,98.454,83526.7801,2.3,2004,279
"184",2004-11-03,94.372,24076.6033,4,2004,308
"185",2005-01-31,5.756,5319.6199,10.2,2005,31
"186",2005-04-15,0.726,26311.4541,2.2,2005,105
"187",2005-04-25,0.913,18811.2057,4,2005,115
"188",2005-05-09,0.554,3312.4083,7.5,2005,129
"189",2005-05-23,0.338,4197.3085,4.3,2005,143
"190",2005-06-06,0.953,3686.6416,5.5,2005,157
"191",2005-06-20,97.086,52516.7549,3.6,2005,171
"192",2005-07-05,99.761,163171.9644,1.6,2005,186
"193",2005-07-18,99.712,165964.8813,1.3,2005,199
"194",2005-08-01,99.215,329959.1035,2.6,2005,213
"195",2005-08-15,4.388,21407.9702,1.6,2005,227
"196",2005-08-29,96.064,673412.9581,2,2005,241
"197",2005-09-26,83.961,253776.664,2.4,2005,269
"198",2005-11-02,99.015,97813.7169,4.5,2005,306
"199",2005-11-30,99.156,79441.3836,5.5,2005,334
"200",2006-03-06,26.125,13407.3465,7.8,2006,65
"201",2006-04-04,26.191,16236.0408,6.5,2006,94
"202",2006-04-17,11.518,18874.0744,6.4,2006,107
"203",2006-05-02,78.356,8359.5548,6.4,2006,122
"204",2006-05-15,10.147,5744.1527,5.2,2006,135
"205",2006-05-30,22.753,16400.0337,5.3,2006,150
"206",2006-06-12,82.189,176471.0536,4,2006,163
"207",2006-06-26,94.239,126126.4498,3,2006,177
"208",2006-07-10,74.829,62644.999,3.3,2006,191
"209",2006-07-24,98.055,89989.3787,3,2006,205
"210",2006-08-07,90.297,147864.7071,2.2,2006,219
"211",2006-08-21,81.955,148736.4014,3,2006,233
"212",2006-09-06,84.131,470827.6718,3,2006,249
"213",2006-10-02,98.993,133581.3912,2.2,2006,275
"214",2006-10-30,97.814,87926.1198,2.5,2006,303
"215",2006-11-27,91.357,21669.1098,7.1,2006,331
"216",2007-01-03,67.211,15688.1778,6,2007,3
"217",2007-02-19,3.943,15133.5798,9.2,2007,50
"218",2007-04-02,1.471,17425.3725,4.1,2007,92
"219",2007-04-16,0.91,15391.1131,2.8,2007,106
"220",2007-04-30,2.362,14401.1059,3.1,2007,120
"221",2007-05-14,50.031,8682.2595,7.8,2007,134
"222",2007-05-29,33.184,925.1928,6,2007,149
"223",2007-06-11,83.138,14810.8267,3.8,2007,162
"224",2007-06-25,98.869,111206.44,3,2007,176
"225",2007-07-09,98.196,159571.1584,2.2,2007,190
"226",2007-07-23,98.545,276016.7709,2,2007,204
"227",2007-08-06,94.736,590153.9862,2,2007,218
"228",2007-08-20,89.975,161270.5125,2.5,2007,232
"229",2007-09-04,97.135,321019.6985,3,2007,247
"230",2007-10-01,93.97,180892.623,1.7,2007,274
"231",2007-10-29,92.405,59771.3155,3,2007,302
"232",2007-11-26,73.917,18402.695,4,2007,330
"233",2008-02-13,40.541,42595.083,10.5,2008,44
"234",2008-04-14,0.127,20910.8117,0.9,2008,105
"235",2008-04-28,0.91,8856.5403,4.2,2008,119
"236",2008-05-12,1.532,6553.7603,6,2008,133
"237",2008-05-28,41.219,10491.8974,10.7,2008,149
"238",2008-06-09,72.822,10709.241,6,2008,161
"239",2008-06-23,96.926,63462.8404,1.75,2008,175
"240",2008-07-07,99.54,201387.0848,0.8,2008,189
"241",2008-07-21,99.371,186337.7945,2,2008,203
"242",2008-08-04,99.51,318742.4136,1.2,2008,217
"243",2008-08-18,99.396,432751.2649,1.1,2008,231
"244",2008-09-05,96.348,321933.0861,1.8,2008,249
"245",2008-09-29,98.394,363512.2128,2.2,2008,273
"246",2008-10-29,88.913,80383.944,3.5,2008,303
"247",2009-01-02,47.916,8856.1438,NA,2009,2
"248",2009-01-21,NA,NA,11.3,2009,21
"249",2009-04-15,2.483,9791.8595,3.5,2009,105
"250",2009-04-27,0.495,3996.2479,3,2009,117
"251",2009-05-11,1.371,16539.3788,5.3,2009,131
"252",2009-05-28,8.541,23967.4357,5.1,2009,148
"253",2009-06-09,5.348,3422.8239,8.5,2009,160
"254",2009-06-23,81.304,60512.8825,6.7,2009,174
"255",2009-07-06,99.028,160954.9087,2.2,2009,187
"256",2009-07-20,99.305,163052.6775,0.6,2009,201
"257",2009-08-05,97.419,264968.393,0.9,2009,217
"258",2009-08-19,94.886,393116.2844,1.2,2009,231
"259",2009-09-02,70.684,214766.2494,1.2,2009,245
"260",2009-09-30,97.597,134628.1237,2.5,2009,273
"261",2009-10-28,45.637,25415.6668,4.7,2009,301
"262",2009-12-03,14.176,21748.3171,5,2009,337
"263",2010-02-01,3.237,17264.8129,9,2010,32
"264",2010-03-29,0.33,17275.456,1,2010,88
"265",2010-04-13,0.799,34306.2687,1.9,2010,103
"266",2010-04-26,24.031,41990.3798,1.6,2010,116
"267",2010-05-10,32.694,14922.4123,2.5,2010,130
"268",2010-05-24,77.414,19262.2613,7.6,2010,144
"269",2010-06-07,65.255,129207.6795,2.1,2010,158
"270",2010-06-21,93.904,225160.9594,1.9,2010,172
"271",2010-07-05,85.707,360346.7162,1.4,2010,186
"272",2010-07-19,43.698,406990.272,1.1,2010,200
"273",2010-08-03,37.85,202378.5486,1.4,2010,215
"274",2010-08-16,92.064,515272.2594,1.3,2010,228
"275",2010-08-30,83.324,576938.0522,1.2,2010,242
"276",2010-10-05,71.592,127618.9164,2.1,2010,278
"277",2010-11-09,23.233,38062.784,2.9,2010,313
"278",2011-01-19,57.596,20607.1385,5.3,2011,19
"279",2011-04-18,1.306,41725.3074,NA,2011,108
"280",2011-05-02,1.128,39772.4336,2.5,2011,122
"281",2011-05-17,3.923,57698.6087,2.3,2011,137
"282",2011-05-31,4.266,13193.2233,6,2011,151
"283",2011-06-13,97.009,34008.5915,7.2,2011,164
"284",2011-06-27,95.977,79242.5224,3.3,2011,178
"285",2011-07-11,99.172,111568.3442,3.3,2011,192
"286",2011-07-25,99.342,91611.2285,2.6,2011,206
"287",2011-08-04,95.195,83792.6001,3.3,2011,216
"288",2011-08-22,93.932,314198.3241,1.8,2011,234
"289",2011-09-12,83.826,329452.8977,2,2011,255
"290",2011-10-03,73.889,300593.8469,2.2,2011,276
"291",2011-10-31,4.197,85585.8867,2.6,2011,304
"292",2012-02-22,19.006,25545.0312,2.3,2012,53
"293",2012-02-28,NA,NA,NA,2012,59
"294",2012-03-21,14.869,45455.3834,1.5,2012,81
"295",2012-04-04,17.795,33226.8232,2.6,2012,95
"296",2012-04-17,19.158,8435.5403,7,2012,108
"297",2012-05-01,55.004,4852.7942,8.2,2012,122
"298",2012-05-14,16.434,13313.898,7.8,2012,135
"299",2012-05-29,45.061,35875.5606,5.6,2012,150
"300",2012-06-11,34.409,211708.4821,2.9,2012,163
"301",2012-06-25,96.318,689523.7688,1.5,2012,177
"302",2012-07-10,95.353,521905.4471,1.8,2012,192
"303",2012-07-23,93.965,661138.4846,1.4,2012,205
"304",2012-08-06,85.739,699203.8458,1.5,2012,219
"305",2012-08-20,69.525,778016.5671,1.7,2012,233
"306",2012-09-04,69.817,480937.1603,2.1,2012,248
"307",2012-10-01,4.41,198091.406,2.1,2012,275
"308",2012-10-29,9.381,38971.0797,4.2,2012,303
"309",2012-11-29,76.018,80876.9622,2.5,2012,334
"310",2013-02-12,0.724,17134.1137,NA,2013,43
"311",2013-04-29,1.177,38875.8088,2.4,2013,119
"312",2013-05-14,15.526,52684.1414,2.7,2013,134
"313",2013-05-28,80.241,2997.3685,8.2,2013,148
"314",2013-06-10,17.885,7896.9239,10.6,2013,161
"315",2013-06-24,65.811,214060.8479,2.4,2013,175
"316",2013-07-08,88.955,244407.5851,1.6,2013,189
"317",2013-07-22,83.705,188672.6848,1.4,2013,203
"318",2013-08-05,95.815,372748.5014,1.6,2013,217
"319",2013-08-21,87.325,400116.8653,1.1,2013,233
"320",2013-09-04,87.27,625476.32,1.4,2013,247
"321",2013-09-30,62.562,653396.9852,1.9,2013,273
"322",2013-10-29,1.095,107685.7123,2,2013,302
"323",2013-12-02,0.662,40739.6122,3.6,2013,336
"324",2014-02-03,5.659,22207.5892,4.2,2014,34
"325",2014-04-29,1.603,38041.3841,2,2014,119
"326",2014-05-14,1.407,47851.7613,1.7,2014,134
"327",2014-05-28,8.894,47122.3509,1.4,2014,148
"328",2014-06-09,98.579,113235.7789,3.8,2014,160
"329",2014-06-23,98.887,198826.1949,2.1,2014,174
"330",2014-07-07,98.466,145201.4654,1.5,2014,188
"331",2014-07-21,79.741,520921.7313,1.3,2014,202
"332",2014-08-04,84.09,295747.4434,1.3,2014,216
"333",2014-08-20,86.208,660049.0095,1.6,2014,232
"334",2014-09-02,92.173,920165.4682,2,2014,245
"335",2014-09-28,57.644,266531.7701,2.4,2014,271
"336",2014-10-30,15.719,140357.2509,2.6,2014,303
"337",2015-02-11,67.201,40331.7827,3.1,2015,42
"338",2015-04-10,2.916,54156.7598,1.4,2015,100
"339",2015-04-24,9.164,99250.2448,2,2015,114
"340",2015-05-01,7.784,94331.7018,1.3,2015,121
"341",2015-05-13,10.193,144203.1512,0.8,2015,133
"342",2015-05-27,70.896,19950.1691,3.3,2015,147
"343",2015-06-08,99.893,96287.3402,3.5,2015,159
"344",2015-06-23,98.977,160492.5291,1.4,2015,174
"345",2015-07-08,97.959,250882.968,1.9,2015,189
"346",2015-07-20,94.772,322463.0041,1.5,2015,201
"347",2015-08-03,80.774,795720.3333,1.4,2015,215
"348",2015-08-18,91.402,586306.3332,1.6,2015,230
"349",2015-08-31,72.997,569567.4906,1.4,2015,243
"350",2015-10-07,92.88,212939.787,1.9,2015,280
"351",2015-11-02,24.726,101442.0159,2.5,2015,306
"352",2016-01-27,78.325,32845.1521,4.8,2016,27
"353",2016-03-28,32.263,99206.1549,1.6,2016,88
"354",2016-04-12,43.011,72740.7394,2.1,2016,103
"355",2016-04-25,42.628,76931.5166,1.6,2016,116
"356",2016-05-11,3.946,6334.1454,5.9,2016,132
"357",2016-05-23,3.084,4998.5392,5.5,2016,144
"358",2016-06-07,38.065,24106.3641,3.4,2016,159
"359",2016-06-20,93.421,323862.4687,4.4,2016,172
"360",2016-06-21,NA,NA,NA,2016,173
"361",2016-07-05,65.21,488607.7263,2.3,2016,187
"362",2016-07-18,72.121,569055.6097,2.1,2016,200
"363",2016-08-01,48.47,417905.9488,2,2016,214
"364",2016-08-05,NA,NA,NA,2016,218
"365",2016-08-15,89.87,839810.9385,2.2,2016,228
"366",2016-08-18,NA,NA,NA,2016,231
"367",2016-08-30,84.5,509146.5033,3,2016,243
"368",2016-10-04,52.813,237054.2735,2.4,2016,278
"369",2016-11-09,78.248,158741.0452,2.5,2016,314
"370",2017-02-06,32.918,28214.2301,4.3,2017,37
"371",2017-04-17,34.826,194430.753,1.4,2017,107
"372",2017-05-03,14.492,152315.1461,1.9,2017,123
"373",2017-05-15,12.452,152968.1406,1.7,2017,135
"374",2017-05-30,90.762,19990.2501,6.1,2017,150
"375",2017-06-12,99.362,204699.2317,2.5,2017,163
"376",2017-06-26,95.994,335065.1093,2.8,2017,177
"377",2017-07-10,37.279,350822.7385,1.4,2017,191
"378",2017-07-24,49.32,919421.3377,1.5,2017,205
"379",2017-08-07,69.165,774871.0064,1.4,2017,219
"380",2017-08-23,78.742,887346.4733,1.6,2017,235
"381",2017-09-06,65.621,416323.639,1.6,2017,249
"382",2017-09-25,90.228,426216.1745,2.4,2017,268
"383",2017-10-04,75.458,386218.538,2.3,2017,277
"384",2017-11-02,83.597,138619.1647,3.9,2017,306
"385",2017-12-19,32.317,60117.5673,5.4,2017,353
"386",2018-01-23,12.723,35063.242,4.8,2018,23
"387",2018-04-05,NA,NA,1.6,2018,95
"388",2018-04-20,7.669,42617.2517,1.8,2018,110
"389",2018-05-07,12.57,53196.6096,1.1,2018,127
"390",2018-05-14,3.826,44740.8908,1.1,2018,134
"391",2018-05-29,98.642,120205.7407,2.2,2018,149
"392",2018-06-11,38.263,7687.2693,3.5,2018,162
"393",2018-06-25,91.726,147136.2636,2.2,2018,176
"394",2018-07-09,54.1,245147.5721,1.8,2018,190
"395",2018-07-23,88.186,578030.6749,1.2,2018,204
"396",2018-08-06,99.085,493689.7218,2,2018,218
"397",2018-08-22,88.323,474156.23,2.1,2018,234
"398",2018-09-04,92.704,273411.0201,2.6,2018,247
"399",2018-09-19,94.291,149085.4483,2.2,2018,262
"400",2018-10-02,96.962,132124.9474,3.1,2018,275
"401",2018-10-18,93.417,78486.8247,3.4,2018,291
"402",2018-10-29,89.535,67840.8294,3.7,2018,302
"403",2018-11-14,82.019,25573.5477,4.5,2018,318
"404",2018-11-30,66.11,13961.1135,6.5,2018,334
"405",2019-02-21,3.287,13952.1275,1.1,2019,52
"406",2019-04-03,1.499,20736.9304,2.6,2019,93
"407",2019-04-15,0.381,29394.617,1.7,2019,105
"408",2019-04-29,0.307,26646.4795,2.8,2019,119
"409",2019-05-12,NA,NA,3.6,2019,132
"410",2019-05-13,9.921,11237.707,NA,2019,133
"411",2019-05-28,44.355,5086.7838,9.5,2019,148
"412",2019-06-11,1.553,10637.2854,8.3,2019,162
"413",2019-06-24,98.237,42360.1436,5.6,2019,175
"414",2019-07-08,99.236,113629.9786,3.1,2019,189
"415",2019-07-22,99.644,360280.1381,1.8,2019,203
"416",2019-08-05,96.078,395457.7586,1.8,2019,217
"417",2019-08-21,97.001,526299.8342,NA,2019,233
"418",2019-09-04,98.84,452764.3075,1.7,2019,247
"419",2019-09-11,NA,NA,NA,2019,254
"420",2019-10-04,99.786,824582.9249,2.3,2019,277
"421",2019-10-28,95.344,61198.1627,4.6,2019,301
"422",2019-11-20,56.475,26120.025,6.6,2019,324
"423",2020-02-12,0.946,18749.2787,2.9,2020,43
"424",2020-03-26,0.273,16205.1832,NA,2020,86
"425",2020-05-07,0.311,7954.5185,1.7,2020,128
"426",2020-05-15,37.276,18568.3307,4.5,2020,136
"427",2020-06-02,30.19,14393.0969,9.9,2020,154
"428",2020-06-12,90.036,36081.1302,7.1,2020,164
"429",2020-06-24,98.746,254370.5304,3,2020,176
"430",2020-07-08,61.147,239372.3323,1.9,2020,190
"431",2020-07-20,NA,NA,1.8,2020,202
"432",2020-07-22,81.674,472946.223,NA,2020,204
"433",2020-08-06,99.169,593226.7101,1.25,2020,219
"434",2020-08-20,97.825,1026792.151,1.6,2020,233
"435",2020-09-02,NA,NA,1.25,2020,246
"436",2020-09-18,87.661,381576.127,1.75,2020,262
"437",2020-10-08,44.233,175069.6796,1.8,2020,282
"438",2020-11-03,47.813,34455.637,4.6,2020,308
"439",2020-12-10,85.188,47521.9487,6,2020,345
"440",2021-03-03,NA,NA,10.1,2021,62
"441",2021-04-06,NA,NA,2.2,2021,96
"442",2021-04-22,NA,NA,4.1,2021,112
"443",2021-05-06,NA,NA,7.2,2021,126
"444",2021-05-17,NA,NA,10.1,2021,137
"445",2021-06-02,NA,NA,5.1,2021,153
"446",2021-06-16,NA,NA,2.9,2021,167
"447",2021-06-30,NA,NA,2.7,2021,181
"448",2021-07-16,NA,NA,1.8,2021,197
"449",2021-07-27,NA,NA,1.5,2021,208
"450",2021-08-12,NA,NA,1.25,2021,224
"451",2021-08-26,NA,NA,1,2021,238
"452",2021-09-10,NA,NA,1.3,2021,253
"453",2021-09-27,NA,NA,1.1,2021,270
"454",2021-10-08,NA,NA,1.3,2021,281
"455",2021-10-19,NA,NA,2,2021,292
"456",2021-11-04,NA,NA,3.3,2021,308
"457",2022-02-08,NA,NA,7.2,2022,39
"458",2022-04-06,NA,NA,NA,2022,96
"459",2022-04-21,NA,NA,1.9,2022,111
"460",2022-04-22,NA,NA,1.9,2022,112
"461",2022-05-16,NA,NA,5.1,2022,136
"462",2022-05-17,NA,NA,5.1,2022,137
"463",2022-06-14,NA,NA,2.3,2022,165
"464",2022-06-28,NA,NA,1.6,2022,179
"465",2022-07-13,NA,NA,1.8,2022,194
"466",2022-07-25,NA,NA,1.3,2022,206
"467",2022-08-09,NA,NA,1.5,2022,221
"468",2022-08-25,NA,NA,1.5,2022,237
"469",2022-09-06,NA,NA,1.8,2022,249
"470",2022-09-19,NA,NA,1.7,2022,262
"471",2022-10-04,NA,NA,1.6,2022,277
"472",2022-10-20,NA,NA,2.7,2022,293
"473",2022-11-01,NA,NA,2.1,2022,305
"474",2022-11-23,NA,NA,3.5,2022,327
