OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427371,"MUD CREEK TRIB .8 MI ABOVE MUD CR AT DEERFIELD, WI",Stream,,7090002,,,,,43.0611098,-89.0701116,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427372,"MUD CREEK TRIB .5 MI ABOVE MUD CR AT DEERFIELD, WI",Stream,,7090002,,,,,43.06110987,-89.0665004,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427373,"TRIBUTARY TO MUD CREEK TRIB AT DEERFIELD, WI",Stream,,7090002,,,,,43.06138764,-89.0662227,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427506,"KOSHKONONG CREEK AT ROCKDALE, WI",Stream,,7090002,146,sq mi,,,42.97222415,-89.0323334,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427507,"KOSHKONONG CREEK NEAR ROCKDALE, WI",Stream,,7090002,150,sq mi,,,42.9513915,-89.0270556,,1,seconds,Interpolated from MAP.,NAD83,794.37,feet,0.01,feet,Level or other surveyed method.,NGVD29,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427718,"YAHARA RIVER AT WINDSOR, WI",Stream,,7090002,73.6,sq mi,37,sq mi,43.20888889,-89.3525,24000,1,seconds,Interpolated from MAP.,NAD83,861.22,feet,0.06,feet,GNSS4 - Level 4 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427800,"TOKEN CREEK NEAR MADISON, WI",Stream,,7090002,24.3,sq mi,,,43.1811043,-89.3245612,24000,1,seconds,Interpolated from MAP.,NAD83,865,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427850,"YAHARA RIVER AT STATE HIGHWAY 113 AT MADISON, WI",Stream,,7090002,114,sq mi,77.4,sq mi,43.1508333,-89.4019444,24000,1,seconds,Interpolated from MAP.,NAD83,840,feet,0.06,feet,GNSS4 - Level 4 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427851,"YAHARA RIVER AT WESTPORT ROAD NEAR MADISON, WI",Stream,,7090002,118,sq mi,81.4,sq mi,43.1508333,-89.4022222,24000,1,seconds,Interpolated from MAP.,NAD83,849,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427880,"SIXMILE CREEK AT STATE HIGHWAY 19 NEAR WAUNAKEE,WI",Stream,,7090002,24.8,sq mi,,,43.1922222,-89.4728889,24000,0.5,seconds,Interpolated from Digital MAP.,NAD83,911.98,feet,0.02,feet,GNSS4 - Level 4 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427900,"SIXMILE CREEK NEAR WAUNAKEE, WI",Stream,,7090002,41.1,sq mi,,,43.17471559,-89.4328968,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427905,"SIXMILE CREEK AT WOODLAND DRIVE NEAR WAUNAKEE, WI",Stream,,7090002,45.4,sq mi,44.3,sq mi,43.14082758,-89.4320637,24000,1,seconds,Interpolated from MAP.,NAD83,860,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427910,"SIXMILE CREEK @ COUNTY TRNK HGHWY M NR WAUNAKEE,WI",Stream,,7090002,48.3,sq mi,,,43.1468333,-89.4368333,24000,0.5,seconds,Interpolated from Digital MAP.,NAD83,839.95,feet,0.02,feet,GNSS4 - Level 4 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427927,"DORN (SPRING) CREEK @ CT HIGHWAY Q NR WAUNAKEE, WI",Stream,,7090002,9.95,sq mi,,,43.14505556,-89.4718611,24000,0.5,seconds,Interpolated from Digital MAP.,NAD83,855.31,feet,0.02,feet,GNSS4 - Level 4 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427930,"DORN (SPRING) CREEK AT CT HIGHWAY M NR WAUNAKEE,WI",Stream,,7090002,12.6,sq mi,,,43.14027778,-89.4423056,24000,0.5,seconds,Interpolated from Digital MAP.,NAD83,839.77,feet,0.02,feet,GNSS4 - Level 4 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427933,"SPRING CREEK AT NORTH SHORE ROAD NEAR WESTPORT, WI",Stream,,7090002,12.7,sq mi,,,43.14110534,-89.4378971,24000,1,seconds,Interpolated from MAP.,NAD83,848,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427937,"WARNER PARK STORM DITCH AT MADISON, WI",Stream: Ditch,,7090002,0.57,sq mi,,,43.1263836,-89.3642847,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427943,"PHEASANT BRANCH AT AIRPORT ROAD NEAR MIDDLETON, WI",Stream,,7090002,9.7,sq mi,,,43.1111111,-89.5361111,24000,1,seconds,Interpolated from MAP.,NAD83,912.47,feet,0.06,feet,GNSS4 - Level 4 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427945,"S FK PHEASANT BRANCH AT HWY 14 NEAR MIDDLETON, WI",Stream,,7090002,5.74,sq mi,1.46,sq mi,43.0966617,-89.5284545,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-054279465,"S FORK PHEASANT BRANCH @ DEMING WAY @ MIDDLETON,WI",Stream,,7090002,6.12,sq mi,,,43.09860617,-89.52151,24000,1,seconds,Interpolated from MAP.,NAD83,912.39,feet,0.06,feet,GNSS4 - Level 4 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427948,"PHEASANT BRANCH AT MIDDLETON, WI",Stream,,7090002,18.3,sq mi,17.08,sq mi,43.1033333,-89.5116667,24000,1,seconds,Interpolated from MAP.,NAD83,901.31,feet,0.01,feet,Level or other surveyed method.,NAVD88,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427950,"PHEASANT BRANCH AT CENTURY AVE AT MIDDLETON, WI",Stream,,7090002,20.8,sq mi,,,43.10443947,-89.493454,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-054279505,"TRIB TO PHEASANT BRANCH TRIB AT MIDDLETON, WI",Stream,,7090002,,,,,43.1222168,-89.4887316,24000,1,seconds,Interpolated from MAP.,NAD83,865,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-054279509,"PHEASANT BRANCH TRIBUTARY AT MIDDLETON, WI",Stream,,7090002,,,,,43.1194391,-89.4840093,24000,1,seconds,Interpolated from MAP.,NAD83,840,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427952,"PHEASANT BRANCH AT MOUTH AT MIDDLETON, WI",Stream,,7090002,24.5,sq mi,,,43.10607834,-89.4837316,24000,1,seconds,Interpolated from MAP.,NAD83,849,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427970,"WILLOW CREEK AT MADISON, WI",Stream,,7090002,3.15,sq mi,,,43.07416267,-89.4226196,24000,1,seconds,Interpolated from MAP.,NAD83,847.8,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427988,"SEGOE PLAYGROUND GUTTER FLOW ISCO AT MADISON, WI",Stream,,7090002,,,,,43.0569407,-89.4626205,24000,1,seconds,Interpolated from MAP.,NAD83,980,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-054279881,"SEGOE PLAYGROUND GUTTER FLOW SHEET AT MADISON, WI",Stream,,7090002,,,,,43.0569407,-89.4626205,24000,1,seconds,Interpolated from MAP.,NAD83,980,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05428600,"WEST BRANCH STARKWEATHER CREEK AT MADISON, WI",Stream,,7090002,12.1,sq mi,,,43.09944,-89.338451,24000,1,seconds,Interpolated from MAP.,NAD83,845,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05428650,"EAST BRANCH STARKWEATHER CREEK AT MADISON, WI",Stream,,7090002,8.89,sq mi,,,43.09916228,-89.3317842,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05428660,"STARKWEATHER CREEK AT MADISON, WI",Stream,,7090002,21.3,sq mi,,,43.09721789,-89.3328954,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05428665,"OLBRICH PARK STORM DITCH AT MADISON, WI",Stream: Ditch,,7090002,2.57,sq mi,,,43.0899959,-89.3245619,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05428668,"STARKWEATHER CREEK ABOVE ATWOOD AVE AT MADISON, WI",Stream,,7090002,24,sq mi,,,43.09194027,-89.3331732,24000,1,seconds,Interpolated from MAP.,NAD83,845,feet,5,feet,Interpolated from topographic map.,NAVD88,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05429065,"MONROE STREET GUTTER FLOW ISCO AT MADISON, WI",Stream,,7090002,,,,,43.05416315,-89.4334532,24000,1,seconds,Interpolated from MAP.,NAD83,875,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-054290651,"MONROE STREET GUTTER FLOW SHEET AT MADISON, WI",Stream,,7090002,,,,,43.05416315,-89.4334532,24000,1,seconds,Interpolated from MAP.,NAD83,875,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05429130,"STORMCEPTOR MAINTENANCE YD @ BADGER AT MADISON, WI",Stream,,7090002,0.01,sq mi,,,43.0347193,-89.4084529,24000,1,seconds,Interpolated from MAP.,NAD83,875,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05429131,"STORMCEPTOR OUTLET AT BADGER ROAD AT MADISON, WI",Stream,,7090002,,,,,43.0377748,-89.407064,24000,1,seconds,Interpolated from MAP.,NAD83,875,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05429132,"STORMCEPTOR BYPASS AT BADGER ROAD AT MADISON, WI",Stream,,7090002,,,,,43.0377748,-89.407064,24000,1,seconds,Interpolated from MAP.,NAD83,875,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05429150,"MURPHY CREEK AT MADISON, WI",Stream,,7090002,8.03,sq mi,,,43.04877778,-89.3926667,24000,1,seconds,Interpolated from MAP.,NAD83,860,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05429269,"NINE SPRINGS CREEK AT HIGHWAY 14 NEAR MADISON, WI",Stream,,7090002,8.56,sq mi,,,43.02555305,-89.3828969,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05429280,"NINE SPRINGS CREEK AT MOORLAND RD NEAR MADISON, WI",Stream,,7090002,10.8,sq mi,,,43.03083087,-89.3473407,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-054293001,"WARMAN FLOW COMPOSITE SAMPLE AT MONONA, WI",Stream,,7090002,,,,,43.05721917,-89.3065063,24000,1,seconds,Interpolated from MAP.,NAD83,870,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05429369,"SWAN CREEK AT LALOR ROAD NEAR FITCHBURG, WI",Stream,,7090002,7.15,sq mi,,,42.99951944,-89.3615417,24000,0.1,seconds,Interpolated from Digital MAP.,NAD83,843.47,feet,0.06,feet,GNSS4 - Level 4 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05429500,"YAHARA RIVER AT MC FARLAND, WI",Stream,,7090002,327,sq mi,290.4,sq mi,43.00888889,-89.305,24000,1,seconds,Interpolated from MAP.,NAD83,839.91,feet,0.09,feet,Interpolated from Digital Elevation Model,NAVD88,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05429560,"DOOR CREEK @ VILAS HOPE RD NEAR COTTAGE GROVE, WI",Stream,,7090002,,,,,43.0838853,-89.2392825,24000,1,seconds,Interpolated from MAP.,NAD83,862,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05429580,"DOOR CREEK NEAR COTTAGE GROVE, WI",Stream,,7090002,15.3,sq mi,,,43.04833098,-89.2317826,24000,1,seconds,Interpolated from MAP.,NAD83,850,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05429590,"LITTLE DOOR CREEK NEAR COTTAGE GROVE, WI",Stream,,7090002,,,,,43.0288877,-89.1726146,24000,1,seconds,Interpolated from MAP.,NAD83,888,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05429720,"YAHARA RIVER NEAR STOUGHTON, WI",Stream,,7090002,414,sq mi,,,42.88111405,-89.210949,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-430212089252511,"SYENE-HIGH TRAFFIC AT MADISON, WI",Stream,,7090002,,,,,43.03666365,-89.423731,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-430213089252715,"SYENE-FLAT ROOF AT MADISON, WI",Stream,,7090002,,,,,43.0369414,-89.4242865,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-430215089245312,"SYENE-LOW TRAFFIC AT MADISON, WI",Stream,,7090002,,,,,43.037497,-89.4148419,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-430220089251909,"SYENE-INDUSTRIAL PARK AT MADISON, WI",Stream,,7090002,,,,,43.0388858,-89.4220642,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-430230089204000,"BELTLINE RUNOFF SAMPLER AT MADISON, WI",Stream,,7090002,,,,,43.0416639,-89.3445627,24000,1,minutes,Interpolated from MAP.,NAD83,847,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-430256089261600,"NAKOMA ROAD PAH GRAB SAMPLE SITE AT MADISON, WI",Stream,,7090002,,,,,43.04888549,-89.4378978,24000,1,seconds,Interpolated from MAP.,NAD83,866,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-430302089260811,"MONROE-MONROE STREET AT MADISON, WI",Stream,,7090002,,,,,43.0505521,-89.4356755,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-430304089264302,"MONROE-TOKAY BOULEVARD AT MADISON, WI",Stream,,7090002,,,,,43.0511076,-89.4453979,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-430305089265314,"MONROE-ALUMINUM DOWNSPOUT 2 AT MADISON, WI",Stream,,7090002,,,,,43.05138538,-89.4481758,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-430306089260915,"MONROE-FLAT ROOF AT MADISON, WI",Stream,,7090002,,,,,43.0516632,-89.4359533,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-430308089263712,"MONROE-LOW TRAFFIC AT MADISON, WI",Stream,,7090002,,,,,43.0522187,-89.4437312,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-430310089225401,"DOWNSTREAM DEFENDER UNIT INLET AT MADISON, WI",Stream,,7090002,0.003,sq mi,,,43.05277778,-89.3816667,24000,1,seconds,Interpolated from MAP.,NAD83,850,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-430310089225402,"DOWNSTREAM DEFENDER SYSTEM OUTLET AT MADISON, WI",Stream,,7090002,0.003,sq mi,,,43.05277778,-89.3816667,24000,1,seconds,Interpolated from MAP.,NAD83,850,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-430310089225403,"DOWNSTREAM DEFENDER UNIT OUTLET AT MADISON, WI",Stream,,7090002,0.003,sq mi,,,43.05277778,-89.3816667,24000,1,seconds,Interpolated from MAP.,NAD83,850,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-430310089270100,"MONROE STREET SHEET FLOW SAMPLERS AT MADISON, WI",Stream,,7090002,,,,,43.0527742,-89.450398,24000,1,minutes,Interpolated from MAP.,NAD83,865,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-430311089270405,"MONROE-FR1 BACTERIA AT MADISON, WI",Stream,,7090002,,,,,43.05305199,-89.4512314,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-430313089270114,"MONROE-GALVANIZED DOWNSPOUT AT MADISON, WI",Stream,,7090002,,,,,43.0536075,-89.450398,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
