"","sampledate","relbiovol","cellsmL","daynum","MoYr","Yr","Mo"
"224",2009-09-30,97.597,134628.1237,273,"09/01/2009",2009,9
"225",2009-10-28,45.637,25415.6668,301,"10/01/2009",2009,10
"226",2009-12-03,14.176,21748.3171,337,"12/01/2009",2009,12
"227",2010-02-01,3.237,17264.8129,32,"02/01/2010",2010,2
"228",2010-03-29,0.33,17275.456,88,"03/01/2010",2010,3
"229",2010-04-13,0.799,34306.2687,103,"04/01/2010",2010,4
"230",2010-04-26,24.031,41990.3798,116,"04/01/2010",2010,4
"231",2010-05-10,32.694,14922.4123,130,"05/01/2010",2010,5
"232",2010-05-24,77.414,19262.2613,144,"05/01/2010",2010,5
"233",2010-06-07,65.255,129207.6795,158,"06/01/2010",2010,6
"234",2010-06-21,93.904,225160.9594,172,"06/01/2010",2010,6
"235",2010-07-05,85.707,360346.7162,186,"07/01/2010",2010,7
"236",2010-07-19,43.698,406990.272,200,"07/01/2010",2010,7
"237",2010-08-03,37.85,202378.5486,215,"08/01/2010",2010,8
"238",2010-08-16,92.064,515272.2594,228,"08/01/2010",2010,8
"239",2010-08-30,83.324,576938.0522,242,"08/01/2010",2010,8
"240",2010-10-05,71.592,127618.9164,278,"10/01/2010",2010,10
"241",2010-11-09,23.233,38062.784,313,"11/01/2010",2010,11
"242",2011-01-19,57.596,20607.1385,19,"01/01/2011",2011,1
"243",2011-04-18,1.306,41725.3074,108,"04/01/2011",2011,4
"244",2011-05-02,1.128,39772.4336,122,"05/01/2011",2011,5
"245",2011-05-17,3.923,57698.6087,137,"05/01/2011",2011,5
"246",2011-05-31,4.266,13193.2233,151,"05/01/2011",2011,5
"247",2011-06-13,97.009,34008.5915,164,"06/01/2011",2011,6
"248",2011-06-27,95.977,79242.5224,178,"06/01/2011",2011,6
"249",2011-07-11,99.172,111568.3442,192,"07/01/2011",2011,7
"250",2011-07-25,99.342,91611.2285,206,"07/01/2011",2011,7
"251",2011-08-04,95.195,83792.6001,216,"08/01/2011",2011,8
"252",2011-08-22,93.932,314198.3241,234,"08/01/2011",2011,8
"253",2011-09-12,83.826,329452.8977,255,"09/01/2011",2011,9
"254",2011-10-03,73.889,300593.8469,276,"10/01/2011",2011,10
"255",2011-10-31,4.197,85585.8867,304,"10/01/2011",2011,10
"256",2012-02-22,19.006,25545.0312,53,"02/01/2012",2012,2
"257",2012-03-21,14.869,45455.3834,81,"03/01/2012",2012,3
"258",2012-04-04,17.795,33226.8232,95,"04/01/2012",2012,4
"259",2012-04-17,19.158,8435.5403,108,"04/01/2012",2012,4
"260",2012-05-01,55.004,4852.7942,122,"05/01/2012",2012,5
"261",2012-05-14,16.434,13313.898,135,"05/01/2012",2012,5
"262",2012-05-29,45.061,35875.5606,150,"05/01/2012",2012,5
"263",2012-06-11,34.409,211708.4821,163,"06/01/2012",2012,6
"264",2012-06-25,96.318,689523.7688,177,"06/01/2012",2012,6
"265",2012-07-10,95.353,521905.4471,192,"07/01/2012",2012,7
"266",2012-07-23,93.965,661138.4846,205,"07/01/2012",2012,7
"267",2012-08-06,85.739,699203.8458,219,"08/01/2012",2012,8
"268",2012-08-20,69.525,778016.5671,233,"08/01/2012",2012,8
"269",2012-09-04,69.817,480937.1603,248,"09/01/2012",2012,9
"270",2012-10-01,4.41,198091.406,275,"10/01/2012",2012,10
"271",2012-10-29,9.381,38971.0797,303,"10/01/2012",2012,10
"272",2012-11-29,76.018,80876.9622,334,"11/01/2012",2012,11
"273",2013-02-12,0.724,17134.1137,43,"02/01/2013",2013,2
"274",2013-04-29,1.177,38875.8088,119,"04/01/2013",2013,4
"275",2013-05-14,15.526,52684.1414,134,"05/01/2013",2013,5
"276",2013-05-28,80.241,2997.3685,148,"05/01/2013",2013,5
"277",2013-06-10,17.885,7896.9239,161,"06/01/2013",2013,6
"278",2013-06-24,65.811,214060.8479,175,"06/01/2013",2013,6
"279",2013-07-08,88.955,244407.5851,189,"07/01/2013",2013,7
"280",2013-07-22,83.705,188672.6848,203,"07/01/2013",2013,7
"281",2013-08-05,95.815,372748.5014,217,"08/01/2013",2013,8
"282",2013-08-21,87.325,400116.8653,233,"08/01/2013",2013,8
"283",2013-09-04,87.27,625476.32,247,"09/01/2013",2013,9
"284",2013-09-30,62.562,653396.9852,273,"09/01/2013",2013,9
"285",2013-10-29,1.095,107685.7123,302,"10/01/2013",2013,10
"286",2013-12-02,0.662,40739.6122,336,"12/01/2013",2013,12
"287",2014-02-03,5.659,22207.5892,34,"02/01/2014",2014,2
"288",2014-04-29,1.603,38041.3841,119,"04/01/2014",2014,4
"289",2014-05-14,1.407,47851.7613,134,"05/01/2014",2014,5
"290",2014-05-28,8.894,47122.3509,148,"05/01/2014",2014,5
"291",2014-06-09,98.579,113235.7789,160,"06/01/2014",2014,6
"292",2014-06-23,98.887,198826.1949,174,"06/01/2014",2014,6
"293",2014-07-07,98.466,145201.4654,188,"07/01/2014",2014,7
"294",2014-07-21,79.741,520921.7313,202,"07/01/2014",2014,7
"295",2014-08-04,84.09,295747.4434,216,"08/01/2014",2014,8
"296",2014-08-20,86.208,660049.0095,232,"08/01/2014",2014,8
"297",2014-09-02,92.173,920165.4682,245,"09/01/2014",2014,9
"298",2014-09-28,57.644,266531.7701,271,"09/01/2014",2014,9
"299",2014-10-30,15.719,140357.2509,303,"10/01/2014",2014,10
"300",2015-02-11,67.201,40331.7827,42,"02/01/2015",2015,2
"301",2015-04-10,2.916,54156.7598,100,"04/01/2015",2015,4
"302",2015-04-24,9.164,99250.2448,114,"04/01/2015",2015,4
"303",2015-05-01,7.784,94331.7018,121,"05/01/2015",2015,5
"304",2015-05-13,10.193,144203.1512,133,"05/01/2015",2015,5
"305",2015-05-27,70.896,19950.1691,147,"05/01/2015",2015,5
"306",2015-06-08,99.893,96287.3402,159,"06/01/2015",2015,6
"307",2015-06-23,98.977,160492.5291,174,"06/01/2015",2015,6
"308",2015-07-08,97.959,250882.968,189,"07/01/2015",2015,7
"309",2015-07-20,94.772,322463.0041,201,"07/01/2015",2015,7
"310",2015-08-03,80.774,795720.3333,215,"08/01/2015",2015,8
"311",2015-08-18,91.402,586306.3332,230,"08/01/2015",2015,8
"312",2015-08-31,72.997,569567.4906,243,"08/01/2015",2015,8
"313",2015-10-07,92.88,212939.787,280,"10/01/2015",2015,10
"314",2015-11-02,24.726,101442.0159,306,"11/01/2015",2015,11
"315",2016-01-27,78.325,32845.1521,27,"01/01/2016",2016,1
"316",2016-03-28,32.263,99206.1549,88,"03/01/2016",2016,3
"317",2016-04-12,43.011,72740.7394,103,"04/01/2016",2016,4
"318",2016-04-25,42.628,76931.5166,116,"04/01/2016",2016,4
"319",2016-05-11,3.946,6334.1454,132,"05/01/2016",2016,5
"320",2016-05-23,3.084,4998.5392,144,"05/01/2016",2016,5
"321",2016-06-07,38.065,24106.3641,159,"06/01/2016",2016,6
"322",2016-06-20,93.421,323862.4687,172,"06/01/2016",2016,6
"323",2016-07-05,65.21,488607.7263,187,"07/01/2016",2016,7
"324",2016-07-18,72.121,569055.6097,200,"07/01/2016",2016,7
"325",2016-08-01,48.47,417905.9488,214,"08/01/2016",2016,8
"326",2016-08-15,89.87,839810.9385,228,"08/01/2016",2016,8
"327",2016-08-30,84.5,509146.5033,243,"08/01/2016",2016,8
"328",2016-10-04,52.813,237054.2735,278,"10/01/2016",2016,10
"329",2016-11-09,78.248,158741.0452,314,"11/01/2016",2016,11
"330",2017-02-06,32.918,28214.2301,37,"02/01/2017",2017,2
"331",2017-04-17,34.826,194430.753,107,"04/01/2017",2017,4
"332",2017-05-03,14.492,152315.1461,123,"05/01/2017",2017,5
"333",2017-05-15,12.452,152968.1406,135,"05/01/2017",2017,5
"334",2017-05-30,90.762,19990.2501,150,"05/01/2017",2017,5
"335",2017-06-12,99.362,204699.2317,163,"06/01/2017",2017,6
"336",2017-06-26,95.994,335065.1093,177,"06/01/2017",2017,6
"337",2017-07-10,37.279,350822.7385,191,"07/01/2017",2017,7
"338",2017-07-24,49.32,919421.3377,205,"07/01/2017",2017,7
"339",2017-08-07,69.165,774871.0064,219,"08/01/2017",2017,8
"340",2017-08-23,78.742,887346.4733,235,"08/01/2017",2017,8
"341",2017-09-06,65.621,416323.639,249,"09/01/2017",2017,9
"342",2017-09-25,90.228,426216.1745,268,"09/01/2017",2017,9
"343",2017-10-04,75.458,386218.538,277,"10/01/2017",2017,10
"344",2017-11-02,83.597,138619.1647,306,"11/01/2017",2017,11
"345",2017-12-19,32.317,60117.5673,353,"12/01/2017",2017,12
"346",2018-01-23,12.723,35063.242,23,"01/01/2018",2018,1
"347",2018-04-20,7.669,42617.2517,110,"04/01/2018",2018,4
"348",2018-05-07,12.57,53196.6096,127,"05/01/2018",2018,5
"349",2018-05-14,3.826,44740.8908,134,"05/01/2018",2018,5
"350",2018-05-29,98.642,120205.7407,149,"05/01/2018",2018,5
"351",2018-06-11,38.263,7687.2693,162,"06/01/2018",2018,6
"352",2018-06-25,91.726,147136.2636,176,"06/01/2018",2018,6
"353",2018-07-09,54.1,245147.5721,190,"07/01/2018",2018,7
"354",2018-07-23,88.186,578030.6749,204,"07/01/2018",2018,7
"355",2018-08-06,99.085,493689.7218,218,"08/01/2018",2018,8
"356",2018-08-22,88.323,474156.23,234,"08/01/2018",2018,8
"357",2018-09-04,92.704,273411.0201,247,"09/01/2018",2018,9
"358",2018-09-19,94.291,149085.4483,262,"09/01/2018",2018,9
"359",2018-10-02,96.962,132124.9474,275,"10/01/2018",2018,10
"360",2018-10-18,93.417,78486.8247,291,"10/01/2018",2018,10
"361",2018-10-29,89.535,67840.8294,302,"10/01/2018",2018,10
"362",2018-11-14,82.019,25573.5477,318,"11/01/2018",2018,11
"363",2018-11-30,66.11,13961.1135,334,"11/01/2018",2018,11
"364",2019-02-21,3.287,13952.1275,52,"02/01/2019",2019,2
"365",2019-04-03,1.499,20736.9304,93,"04/01/2019",2019,4
"366",2019-04-15,0.381,29394.617,105,"04/01/2019",2019,4
"367",2019-04-29,0.307,26646.4795,119,"04/01/2019",2019,4
"368",2019-05-13,9.921,11237.707,133,"05/01/2019",2019,5
"369",2019-05-28,44.355,5086.7838,148,"05/01/2019",2019,5
"370",2019-06-11,1.553,10637.2854,162,"06/01/2019",2019,6
"371",2019-06-24,98.237,42360.1436,175,"06/01/2019",2019,6
"372",2019-07-08,99.236,113629.9786,189,"07/01/2019",2019,7
"373",2019-07-22,99.644,360280.1381,203,"07/01/2019",2019,7
"374",2019-08-05,96.078,395457.7586,217,"08/01/2019",2019,8
"375",2019-08-21,97.001,526299.8342,233,"08/01/2019",2019,8
"376",2019-09-04,98.84,452764.3075,247,"09/01/2019",2019,9
"377",2019-10-04,99.786,824582.9249,277,"10/01/2019",2019,10
"378",2019-10-28,95.344,61198.1627,301,"10/01/2019",2019,10
"379",2019-11-20,56.475,26120.025,324,"11/01/2019",2019,11
"380",2020-02-12,0.946,18749.2787,43,"02/01/2020",2020,2
"381",2020-03-26,0.273,16205.1832,86,"03/01/2020",2020,3
"382",2020-05-07,0.311,7954.5185,128,"05/01/2020",2020,5
"383",2020-05-15,37.276,18568.3307,136,"05/01/2020",2020,5
"384",2020-06-02,30.19,14393.0969,154,"06/01/2020",2020,6
"385",2020-06-12,90.036,36081.1302,164,"06/01/2020",2020,6
"386",2020-06-24,98.746,254370.5304,176,"06/01/2020",2020,6
"387",2020-07-08,61.147,239372.3323,190,"07/01/2020",2020,7
"388",2020-07-22,81.674,472946.223,204,"07/01/2020",2020,7
"389",2020-08-06,99.169,593226.7101,219,"08/01/2020",2020,8
"390",2020-08-20,97.825,1026792.151,233,"08/01/2020",2020,8
"391",2020-09-18,87.661,381576.127,262,"09/01/2020",2020,9
"392",2020-10-08,44.233,175069.6796,282,"10/01/2020",2020,10
"393",2020-11-03,47.813,34455.637,308,"11/01/2020",2020,11
"394",2020-12-10,85.188,47521.9487,345,"12/01/2020",2020,12
