"","sampledate","TotP_lbday_sum"
"116",2009-02-10,0.321
"117",2009-02-11,0.522
"118",2009-02-14,0.438
"119",2009-02-15,0.386
"120",2009-02-16,0.341
"121",2009-02-17,0.305
"122",2009-02-18,0.3
"123",2009-02-19,0.299
"124",2009-02-20,0.299
"125",2009-02-21,0.299
"126",2009-02-22,0.298
"127",2009-02-23,0.298
"128",2009-02-24,0.298
"129",2009-02-25,0.297
"130",2009-02-26,0.326
"131",2009-02-28,0.646
"132",2009-03-01,0.547
"133",2009-03-02,0.464
"134",2009-03-03,0.431
"135",2009-03-04,0.43
"136",2009-03-05,0.429
"137",2009-03-06,0.428
"138",2009-03-07,0.453
"139",2009-03-08,0.595
"140",2009-03-11,0.691
"141",2009-03-13,0.571
"142",2009-03-14,0.505
"143",2009-03-16,0.376
"144",2009-03-17,0.305
"145",2009-03-19,0.258
"146",2009-03-20,0.248
"147",2009-03-21,0.239
"148",2009-03-22,0.23
"149",2009-03-23,0.221
"150",2009-03-24,0.213
"151",2009-03-25,0.205
"152",2009-03-27,0.209
"153",2009-03-28,0.222
"154",2009-03-30,0.219
"155",2009-03-31,0.183
"156",2009-04-01,0.152
"157",2009-04-03,0.128
"158",2009-04-04,0.125
"159",2009-04-05,0.122
"160",2009-04-06,0.12
"161",2009-04-07,0.117
"162",2009-04-08,0.115
"163",2009-04-09,0.112
"164",2009-04-10,0.11
"165",2009-04-12,0.109
"166",2009-04-13,0.111
"167",2009-04-14,0.112
"168",2009-04-15,0.113
"169",2009-04-16,0.115
"170",2009-04-17,0.116
"171",2009-04-18,0.117
"172",2009-04-19,0.119
"173",2009-04-21,0.118
"174",2009-04-22,0.116
"175",2009-04-24,0.122
"176",2009-04-25,0.133
"177",2009-04-26,0.144
"178",2009-04-28,0.178
"179",2009-04-30,0.189
"180",2009-05-01,0.176
"181",2009-05-02,0.164
"182",2009-05-03,0.152
"183",2009-05-05,0.141
"184",2009-05-06,0.139
"185",2009-05-07,0.137
"186",2009-05-08,0.135
"187",2009-05-10,0.136
"188",2009-05-11,0.142
"189",2009-05-12,0.148
"190",2009-05-14,0.155
"191",2009-05-15,0.154
"192",2009-05-16,0.153
"193",2009-05-17,0.152
"194",2009-05-18,0.151
"195",2009-05-19,0.149
"196",2009-05-20,0.148
"197",2009-05-21,0.147
"198",2009-05-22,0.146
"199",2009-05-23,0.145
"200",2009-05-24,0.144
"201",2009-05-25,0.143
"202",2009-05-26,0.141
"203",2009-05-27,0.14
"204",2009-05-28,0.139
"205",2009-05-29,0.138
"206",2009-05-30,0.137
"207",2009-05-31,0.136
"208",2009-06-01,0.135
"209",2009-06-02,0.134
"210",2009-06-03,0.133
"211",2009-06-04,0.132
"212",2009-06-05,0.131
"213",2009-06-06,0.13
"214",2009-06-07,0.129
"215",2009-06-08,0.128
"216",2009-06-09,0.127
"217",2009-06-11,0.125
"218",2009-06-12,0.124
"219",2009-06-13,0.122
"220",2009-06-14,0.121
"221",2009-06-15,0.12
"222",2009-06-16,0.119
"223",2009-06-17,0.118
"224",2009-06-18,0.117
"225",2009-06-20,0.129
"226",2009-06-21,0.139
"227",2009-06-23,0.151
"228",2009-06-24,0.152
"229",2009-06-26,0.161
"230",2009-06-27,0.168
"231",2009-06-28,0.175
"232",2009-06-30,0.168
"233",2009-07-01,0.156
"234",2009-07-03,0.148
"235",2009-07-04,0.151
"236",2009-07-05,0.153
"237",2009-07-07,0.153
"238",2009-07-08,0.151
"239",2009-07-09,0.148
"240",2009-07-10,0.145
"241",2009-07-12,0.138
"242",2009-07-13,0.133
"243",2009-07-14,0.129
"244",2009-07-15,0.124
"245",2009-07-17,0.114
"246",2009-07-18,0.108
"247",2009-07-19,0.102
"248",2009-07-21,0.103
"249",2009-07-22,0.108
"250",2009-07-23,0.114
"251",2009-07-24,0.12
"252",2009-07-26,0.133
"253",2009-07-27,0.14
"254",2009-07-28,0.147
"255",2009-07-30,0.159
"256",2009-08-01,0.176
"257",2009-08-02,0.189
"258",2009-08-03,0.202
"259",2009-08-05,0.221
"260",2009-08-06,0.227
"261",2009-08-07,0.232
"262",2009-08-10,0.169
"263",2009-08-11,0.16
"264",2009-08-13,0.159
"265",2009-08-14,0.168
"266",2009-08-15,0.176
"267",2009-08-16,0.186
"268",2009-08-17,0.195
"269",2009-08-18,0.206
"270",2009-08-20,0.21
"271",2009-08-21,0.203
"272",2009-08-22,0.198
"273",2009-08-23,0.192
"274",2009-08-24,0.186
"275",2009-08-25,0.181
"276",2009-08-27,0.177
"277",2009-08-28,0.177
"278",2009-08-29,0.178
"279",2009-08-30,0.178
"280",2009-09-01,0.172
"281",2009-09-02,0.166
"282",2009-09-04,0.156
"283",2009-09-05,0.152
"284",2009-09-06,0.148
"285",2009-09-07,0.144
"286",2009-09-08,0.14
"287",2009-09-10,0.13
"288",2009-09-12,0.125
"289",2009-09-13,0.126
"290",2009-09-15,0.119
"291",2009-09-16,0.113
"292",2009-09-17,0.107
"293",2009-09-19,0.1
"294",2009-09-20,0.1
"295",2009-09-21,0.099
"296",2009-09-25,0.15
"297",2009-09-26,0.167
"298",2009-09-28,0.143
"299",2009-09-29,0.111
"300",2009-10-02,0.111
"301",2009-10-03,0.104
"302",2009-10-04,0.098
"303",2009-10-05,0.092
"304",2009-10-06,0.086
"305",2009-10-08,0.077
"306",2009-10-09,0.073
"307",2009-10-10,0.069
"308",2009-10-11,0.065
"309",2009-10-12,0.061
"310",2009-10-13,0.058
"311",2009-10-15,0.057
"312",2009-10-16,0.059
"313",2009-10-17,0.061
"314",2009-10-18,0.063
"315",2009-10-19,0.066
"316",2009-10-20,0.068
"317",2009-10-21,0.07
"318",2009-10-22,0.073
"319",2009-10-23,0.076
"320",2009-10-24,0.078
"321",2009-10-25,0.081
"322",2009-10-26,0.084
"323",2009-10-27,0.087
"324",2009-10-28,0.09
"325",2009-10-29,0.093
"326",2009-10-30,0.097
"327",2009-10-31,0.1
"328",2009-11-01,0.104
"329",2009-11-03,0.108
"330",2009-11-04,0.109
"331",2009-11-05,0.11
"332",2009-11-07,0.099
"333",2009-11-08,0.09
"334",2009-11-09,0.081
"335",2009-11-11,0.071
"336",2009-11-12,0.068
"337",2009-11-14,0.063
"338",2009-11-15,0.062
"339",2009-11-16,0.061
"340",2009-11-17,0.059
"341",2009-11-19,0.056
"342",2009-11-20,0.054
"343",2009-11-21,0.052
"344",2009-11-22,0.05
"345",2009-11-23,0.049
"346",2009-11-24,0.047
"347",2009-11-25,0.046
"348",2009-11-26,0.044
"349",2009-11-28,0.043
"350",2009-11-29,0.043
"351",2009-11-30,0.043
"352",2009-12-01,0.043
"353",2009-12-03,0.043
"354",2009-12-04,0.044
"355",2009-12-05,0.044
"356",2009-12-06,0.044
"357",2009-12-07,0.044
"358",2009-12-08,0.045
"359",2009-12-09,0.045
"360",2009-12-10,0.045
"361",2009-12-11,0.046
"362",2009-12-12,0.046
"363",2009-12-13,0.046
"364",2009-12-14,0.047
"365",2009-12-15,0.047
"366",2009-12-16,0.047
"367",2009-12-17,0.048
"368",2009-12-18,0.048
"369",2009-12-19,0.048
"370",2009-12-20,0.049
"371",2009-12-21,0.049
"372",2009-12-22,0.049
"373",2009-12-23,0.05
"374",2009-12-24,0.05
"375",2009-12-25,0.056
"376",2009-12-26,0.062
"377",2009-12-27,0.059
"378",2009-12-28,0.054
"379",2009-12-29,0.052
"380",2009-12-30,0.052
"381",2009-12-31,0.052
"382",2010-01-01,0.052
"383",2010-01-02,0.052
"384",2010-01-03,0.052
"385",2010-01-04,0.051
"386",2010-01-05,0.051
"387",2010-01-06,0.051
"388",2010-01-07,0.051
"389",2010-01-08,0.051
"390",2010-01-09,0.051
"391",2010-01-10,0.051
"392",2010-01-11,0.051
"393",2010-01-12,0.051
"394",2010-01-13,0.051
"395",2010-01-14,0.051
"396",2010-01-15,0.05
"397",2010-01-16,0.05
"398",2010-01-17,0.05
"399",2010-01-18,0.05
"400",2010-01-19,0.05
"401",2010-01-20,0.05
"402",2010-01-22,0.05
"403",2010-01-23,0.05
"404",2010-01-24,0.05
"405",2010-01-25,0.05
"406",2010-01-26,0.05
"407",2010-01-27,0.05
"408",2010-01-28,0.05
"409",2010-01-29,0.05
"410",2010-01-30,0.051
"411",2010-01-31,0.051
"412",2010-02-01,0.051
"413",2010-02-02,0.051
"414",2010-02-03,0.051
"415",2010-02-04,0.051
"416",2010-02-05,0.051
"417",2010-02-06,0.051
"418",2010-02-07,0.051
"419",2010-02-08,0.051
"420",2010-02-09,0.051
"421",2010-02-10,0.051
"422",2010-02-11,0.051
"423",2010-02-12,0.051
"424",2010-02-13,0.051
"425",2010-02-14,0.051
"426",2010-02-15,0.051
"427",2010-02-16,0.051
"428",2010-02-17,0.052
"429",2010-02-18,0.052
"430",2010-02-19,0.052
"431",2010-02-20,0.052
"432",2010-02-21,0.052
"433",2010-02-22,0.052
"434",2010-02-23,0.052
"435",2010-02-24,0.052
"436",2010-02-26,0.053
"437",2010-02-27,0.053
"438",2010-02-28,0.054
"439",2010-03-01,0.054
"440",2010-03-02,0.055
"441",2010-03-03,0.056
"442",2010-03-04,0.056
"443",2010-03-05,0.057
"444",2010-03-06,0.057
"445",2010-03-07,0.059
"446",2010-03-08,0.066
"447",2010-03-09,0.074
"448",2010-03-20,0.095
"449",2010-03-22,0.077
"450",2010-03-24,0.077
"451",2010-03-25,0.078
"452",2010-03-26,0.078
"453",2010-03-27,0.079
"454",2010-03-30,0.066
"455",2010-03-31,0.073
"456",2010-04-01,0.082
"457",2010-04-02,0.091
"458",2010-04-05,0.151
"459",2010-04-08,0.114
"460",2010-04-10,0.119
"461",2010-04-11,0.128
"462",2010-04-12,0.137
"463",2010-04-14,0.139
"464",2010-04-15,0.132
"465",2010-04-17,0.124
"466",2010-04-18,0.121
"467",2010-04-20,0.121
"468",2010-04-21,0.123
"469",2010-04-22,0.126
"470",2010-04-23,0.128
"471",2010-04-25,0.125
"472",2010-04-26,0.114
"473",2010-04-28,0.113
"474",2010-04-29,0.119
"475",2010-05-02,0.133
"476",2010-05-03,0.136
"477",2010-05-04,0.14
"478",2010-05-06,0.143
"479",2010-05-07,0.139
"480",2010-05-08,0.135
"481",2010-05-09,0.131
"482",2010-05-10,0.128
"483",2010-05-12,0.098
"484",2010-05-15,0.104
"485",2010-05-16,0.114
"486",2010-05-17,0.125
"487",2010-05-19,0.13
"488",2010-05-20,0.126
"489",2010-05-21,0.122
"490",2010-05-22,0.118
"491",2010-05-23,0.115
"492",2010-05-24,0.111
"493",2010-05-25,0.108
"494",2010-05-27,0.107
"495",2010-05-28,0.111
"496",2010-05-29,0.114
"497",2010-05-30,0.118
"498",2010-05-31,0.122
"499",2010-06-01,0.126
"500",2010-06-02,0.13
"501",2010-06-04,0.128
"502",2010-06-05,0.122
"503",2010-06-07,0.111
"504",2010-06-08,0.114
"505",2010-06-10,0.121
"506",2010-06-11,0.123
"507",2010-06-12,0.126
"508",2010-06-13,0.128
"509",2010-06-14,0.13
"510",2010-06-15,0.132
"511",2010-06-17,0.129
"512",2010-06-18,0.124
"513",2010-06-20,0.109
"514",2010-06-21,0.096
"515",2010-06-25,0.232
"516",2010-06-27,0.228
"517",2010-06-28,0.221
"518",2010-06-30,0.208
"519",2010-07-01,0.202
"520",2010-07-02,0.197
"521",2010-07-03,0.191
"522",2010-07-04,0.185
"523",2010-07-05,0.18
"524",2010-07-07,0.17
"525",2010-07-08,0.171
"526",2010-07-09,0.172
"527",2010-07-10,0.173
"528",2010-07-12,0.164
"529",2010-07-13,0.154
"530",2010-07-14,0.145
"531",2010-07-15,0.137
"532",2010-07-17,0.166
"533",2010-07-18,0.201
"534",2010-07-20,0.235
"535",2010-07-21,0.247
"536",2010-07-22,0.26
"537",2010-07-23,0.273
"538",2010-07-25,0.288
"539",2010-07-26,0.276
"540",2010-07-27,0.265
"541",2010-07-28,0.254
"542",2010-07-29,0.244
"543",2010-07-30,0.234
"544",2010-07-31,0.225
"545",2010-08-02,0.209
"546",2010-08-03,0.203
"547",2010-08-04,0.196
"548",2010-08-05,0.19
"549",2010-08-06,0.184
"550",2010-08-07,0.179
"551",2010-08-08,0.173
"552",2010-08-09,0.168
"553",2010-08-10,0.163
"554",2010-08-12,0.136
"555",2010-08-13,0.132
"556",2010-08-14,0.128
"557",2010-08-15,0.124
"558",2010-08-16,0.12
"559",2010-08-17,0.117
"560",2010-08-18,0.113
"561",2010-08-19,0.11
"562",2010-08-20,0.106
"563",2010-08-21,0.103
"564",2010-08-22,0.1
"565",2010-08-23,0.097
"566",2010-08-24,0.094
"567",2010-08-25,0.091
"568",2010-08-26,0.088
"569",2010-08-27,0.086
"570",2010-08-29,0.085
"571",2010-08-30,0.087
"572",2010-08-31,0.089
"573",2010-09-01,0.091
"574",2010-09-02,0.093
"575",2010-09-03,0.096
"576",2010-09-05,0.096
"577",2010-09-06,0.095
"578",2010-09-07,0.095
"579",2010-09-08,0.094
"580",2010-09-09,0.094
"581",2010-09-10,0.093
"582",2010-09-11,0.092
"583",2010-09-12,0.092
"584",2010-09-13,0.091
"585",2010-09-14,0.091
"586",2010-09-16,0.081
"587",2010-09-17,0.081
"588",2010-09-18,0.081
"589",2010-09-19,0.081
"590",2010-09-20,0.081
"591",2010-09-21,0.081
"592",2010-09-22,0.081
"593",2010-09-23,0.081
"594",2010-09-24,0.081
"595",2010-09-26,0.081
"596",2010-09-27,0.081
"597",2010-09-28,0.081
"598",2010-09-29,0.081
"599",2010-09-30,0.081
"600",2010-10-02,41.89
"601",2010-10-03,40.58
"602",2010-10-04,42.19
"603",2010-10-05,42.22
"604",2010-10-06,42.71
"605",2010-10-07,41.02
"606",2010-10-08,38.88
"607",2010-10-09,39.09
"608",2010-10-10,38
"609",2010-10-11,38.52
"610",2010-10-13,37.2
"611",2010-10-14,38.28
"612",2010-10-15,37.33
"613",2010-10-16,36.18
"614",2010-10-17,39.75
"615",2010-10-18,37.18
"616",2010-10-19,36.3
"617",2010-10-20,38.51
"618",2010-10-21,36.61
"619",2010-10-22,28.6
"620",2010-10-23,35.12
"621",2010-10-24,59.6
"622",2010-10-25,54.08
"623",2010-10-26,31.96
"624",2010-10-28,118.67
"625",2010-10-29,33.79
"626",2010-10-30,50.76
"627",2010-10-31,34.76
"628",2010-11-01,33.6
"629",2010-11-02,28.9
"630",2010-11-04,35.54
"631",2010-11-05,26.28
"632",2010-11-06,19.9
"633",2010-11-07,36.78
"634",2010-11-08,27.37
"635",2010-11-09,25.81
"636",2010-11-10,22.79
"637",2010-11-11,26.28
"638",2010-11-12,30.17
"639",2010-11-14,38.26
"640",2010-11-15,27.53
"641",2010-11-16,25.41
"642",2010-11-17,23.01
"643",2010-11-18,20.85
"644",2010-11-19,20.26
"645",2010-11-20,26.02
"646",2010-11-21,15.1
"647",2010-11-22,19.39
"648",2010-11-23,27.22
"649",2010-11-24,19.39
"650",2010-11-25,18.99
"651",2010-11-26,26.45
"652",2010-11-27,19.78
"653",2010-11-28,15.71
"654",2010-11-29,19.18
"655",2010-12-02,17.49
"656",2010-12-03,16.29
"657",2010-12-04,16.72
"658",2010-12-05,16.09
"659",2010-12-06,14.38
"660",2010-12-07,13.86
"661",2010-12-08,14.73
"662",2010-12-09,13.4
"663",2010-12-10,15.11
"664",2010-12-11,16.52
"665",2010-12-12,13.56
"666",2010-12-13,12.81
"667",2010-12-14,15.64
"668",2010-12-15,14.71
"669",2010-12-16,14.65
"670",2010-12-17,14.42
"671",2010-12-18,14.28
"672",2010-12-19,14.08
"673",2010-12-20,13.8
"674",2010-12-21,14.35
"675",2010-12-22,15.04
"676",2010-12-23,14.7
"677",2010-12-24,14.91
"678",2010-12-25,14.93
"679",2010-12-26,14.51
"680",2010-12-27,13.82
"681",2010-12-28,13.93
"682",2010-12-29,14.11
"683",2010-12-30,23.44
"684",2010-12-31,76.9
"685",2011-01-01,144.9
"686",2011-01-02,104.7
"687",2011-01-03,67.7
"688",2011-01-04,41.76
"689",2011-01-05,28.28
"690",2011-01-06,27.29
"691",2011-01-07,24.18
"692",2011-01-08,21.13
"693",2011-01-09,22
"694",2011-01-10,21.37
"695",2011-01-11,21.76
"696",2011-01-12,22.68
"697",2011-01-13,22.25
"698",2011-01-14,22.25
"699",2011-01-15,22.08
"700",2011-01-16,20.24
"701",2011-01-17,21.48
"702",2011-01-18,24.52
"703",2011-01-19,23.16
"704",2011-01-20,21.24
"705",2011-01-21,21.19
"706",2011-01-22,23.59
"707",2011-01-23,22.76
"708",2011-01-24,23.27
"709",2011-01-25,24.38
"710",2011-01-26,24.19
"711",2011-01-27,24.39
"712",2011-01-28,24.39
"713",2011-01-29,25.21
"714",2011-01-30,24.6
"715",2011-02-01,18.27
"716",2011-02-02,16.7
"717",2011-02-03,23.62
"718",2011-02-04,27.16
"719",2011-02-05,27.91
"720",2011-02-06,28
"721",2011-02-07,27.79
"722",2011-02-08,26.32
"723",2011-02-09,24.54
"724",2011-02-10,25.26
"725",2011-02-11,25.71
"726",2011-02-12,25.89
"727",2011-02-13,27.12
"728",2011-02-14,31.38
"729",2011-02-15,33.77
"730",2011-02-16,34.91
"731",2011-02-17,373.4
"732",2011-02-20,503.6
"733",2011-02-21,191.5
"734",2011-02-22,104.9
"735",2011-02-23,88.1
"736",2011-02-24,74.2
"737",2011-02-25,64.74
"738",2011-02-26,60.55
"739",2011-02-27,57.6
"740",2011-02-28,54.65
"741",2011-03-01,52.56
"742",2011-03-02,59.72
"743",2011-03-03,51.72
"744",2011-03-05,120.9
"745",2011-03-06,73.06
"746",2011-03-07,62.82
"747",2011-03-08,67.95
"748",2011-03-09,75.82
"749",2011-03-10,69.51
"750",2011-03-11,73.14
"751",2011-03-12,84.72
"752",2011-03-13,89.44
"753",2011-03-14,82.29
"754",2011-03-15,86.06
"755",2011-03-16,91.66
"756",2011-03-17,118.98
"757",2011-03-19,126.15
"758",2011-03-24,313.2
"759",2011-03-25,186.2
"760",2011-03-26,137.2
"761",2011-03-27,99.5
"762",2011-03-28,91.07
"763",2011-03-29,81.05
"764",2011-03-30,73.86
"765",2011-03-31,68.52
"766",2011-04-01,62.53
"767",2011-04-02,65.76
"768",2011-04-05,115.06
"769",2011-04-06,117.66
"770",2011-04-08,104.18
"771",2011-04-09,89.14
"772",2011-04-10,41.78
"773",2011-04-12,60.84
"774",2011-04-13,70.4
"775",2011-04-14,86.19
"776",2011-04-16,40.72
"777",2011-04-17,68.23
"778",2011-04-18,49.93
"779",2011-04-19,60.5
"780",2011-04-21,106.3
"781",2011-04-22,81.5
"782",2011-04-24,81.3
"783",2011-04-25,47.43
"784",2011-04-27,176.5
"785",2011-04-29,121.5
"786",2011-04-30,100.9
"787",2011-05-01,89.02
"788",2011-05-03,87.88
"789",2011-05-04,84.59
"790",2011-05-05,82.17
"791",2011-05-06,90.88
"792",2011-05-07,82.67
"793",2011-05-08,81.66
"794",2011-05-09,73.63
"795",2011-05-10,87.85
"796",2011-05-11,79.71
"797",2011-05-13,107.98
"798",2011-05-14,94.22
"799",2011-05-15,69.19
"800",2011-05-16,60.59
"801",2011-05-17,65.49
"802",2011-05-18,58.29
"803",2011-05-19,58.52
"804",2011-05-20,58.1
"805",2011-05-21,52.77
"806",2011-05-22,31.35
"807",2011-05-24,61.61
"808",2011-05-25,99.5
"809",2011-05-27,75.7
"810",2011-05-28,62.16
"811",2011-05-29,74.3
"812",2011-05-30,46.85
"813",2011-06-02,72.32
"814",2011-06-03,51.79
"815",2011-06-04,76.76
"816",2011-06-05,64.46
"817",2011-06-06,59.56
"818",2011-06-07,39.93
"819",2011-06-08,61.9
"820",2011-06-09,97.7
"821",2011-06-10,73.2
"822",2011-06-11,68.93
"823",2011-06-12,63.82
"824",2011-06-14,61.24
"825",2011-06-15,58.58
"826",2011-06-16,72.2
"827",2011-06-17,61.94
"828",2011-06-18,60.54
"829",2011-06-19,107.61
"830",2011-06-21,80.73
"831",2011-06-25,92.41
"832",2011-06-26,80.05
"833",2011-06-27,70.8
"834",2011-06-28,86.55
"835",2011-06-29,72.04
"836",2011-06-30,44.53
"837",2011-07-01,82.06
"838",2011-07-02,95.53
"839",2011-07-03,77.7
"840",2011-07-04,78.15
"841",2011-07-05,77.74
"842",2011-07-06,95.88
"843",2011-07-07,89.85
"844",2011-07-08,84.97
"845",2011-07-09,74.14
"846",2011-07-10,91.71
"847",2011-07-11,96.2
"848",2011-07-12,105.39
"849",2011-07-13,99.37
"850",2011-07-15,83.47
"851",2011-07-16,95.27
"852",2011-07-17,89.24
"853",2011-07-18,97.72
"854",2011-07-19,91.64
"855",2011-07-20,49.28
"856",2011-07-21,121.64
"857",2011-07-22,89.71
"858",2011-07-23,87.93
"859",2011-07-24,98.17
"860",2011-07-25,86.57
"861",2011-07-26,96.22
"862",2011-07-27,128.6
"863",2011-07-28,136
"864",2011-07-29,108.15
"865",2011-07-30,99.07
"866",2011-07-31,88.81
"867",2011-08-01,95.47
"868",2011-08-02,101.19
"869",2011-08-03,90.03
"870",2011-08-04,86.94
"871",2011-08-06,85.11
"872",2011-08-07,140.4
"873",2011-08-08,97.6
"874",2011-08-09,91.35
"875",2011-08-10,88.84
"876",2011-08-11,74.54
"877",2011-08-12,72.96
"878",2011-08-13,91.5
"879",2011-08-14,85.3
"880",2011-08-15,75.73
"881",2011-08-17,80.12
"882",2011-08-18,66.75
"883",2011-08-19,64.68
"884",2011-08-20,77.97
"885",2011-08-21,73.59
"886",2011-08-22,62.65
"887",2011-08-23,62.35
"888",2011-08-24,93.61
"889",2011-08-25,73.47
"890",2011-08-26,61.13
"891",2011-08-27,67.03
"892",2011-08-28,62.11
"893",2011-08-29,59.21
"894",2011-08-30,63.85
"895",2011-08-31,63.52
"896",2011-09-01,43.98
"897",2011-09-02,70.03
"898",2011-09-03,69.72
"899",2011-09-04,86.6
"900",2011-09-05,59.49
"901",2011-09-06,63
"902",2011-09-07,57.04
"903",2011-09-08,55.37
"904",2011-09-09,54.59
"905",2011-09-10,54.7
"906",2011-09-11,52.78
"907",2011-09-12,24.53
"908",2011-09-13,75.29
"909",2011-09-14,54.38
"910",2011-09-16,51.69
"911",2011-09-17,49.42
"912",2011-09-18,44.99
"913",2011-09-19,52.23
"914",2011-09-20,21.35
"915",2011-09-21,53.07
"916",2011-09-22,49.7
"917",2011-09-23,38.07
"918",2011-09-24,40.07
"919",2011-09-25,38.89
"920",2011-09-26,99.6
"921",2011-09-28,48.64
"922",2011-09-29,43.14
"923",2011-09-30,44.23
"924",2011-10-01,32.75
"925",2011-10-02,33.76
"926",2011-10-03,32.1
"927",2011-10-04,31.82
"928",2011-10-05,30.14
"929",2011-10-06,29.42
"930",2011-10-07,19.67
"931",2011-10-08,35.66
"932",2011-10-09,30.29
"933",2011-10-10,28.31
"934",2011-10-11,29.49
"935",2011-10-12,35.75
"936",2011-10-13,53.4
"937",2011-10-14,46.9
"938",2011-10-16,33.31
"939",2011-10-17,34.73
"940",2011-10-18,33.92
"941",2011-10-19,36.72
"942",2011-10-20,19.11
"943",2011-10-21,25.38
"944",2011-10-22,24.55
"945",2011-10-23,23.68
"946",2011-10-24,29.71
"947",2011-10-25,36.79
"948",2011-10-26,17
"949",2011-10-27,25.78
"950",2011-10-28,23.48
"951",2011-10-29,23.37
"952",2011-10-30,22.73
"953",2011-10-31,23.21
"954",2011-11-01,21.49
"955",2011-11-02,37.13
"956",2011-11-03,41.3
"957",2011-11-04,31.57
"958",2011-11-05,23.38
"959",2011-11-06,26.07
"960",2011-11-07,26.24
"961",2011-11-12,52.7
"962",2011-11-13,57.5
"963",2011-11-14,46.7
"964",2011-11-16,29.7
"965",2011-11-17,29.74
"966",2011-11-18,16.62
"967",2011-11-19,36.26
"968",2011-11-20,25.72
"969",2011-11-21,23.72
"970",2011-11-22,22.13
"971",2011-11-23,17.2
"972",2011-11-24,17.79
"973",2011-11-26,22.72
"974",2011-11-27,28.05
"975",2011-11-28,22.64
"976",2011-11-29,24.64
"977",2011-11-30,19.61
"978",2011-12-01,29.68
"979",2011-12-02,15.31
"980",2011-12-05,41.3
"981",2011-12-06,25.67
"982",2011-12-07,30.02
"983",2011-12-08,24.76
"984",2011-12-09,23.15
"985",2011-12-10,18.09
"986",2011-12-11,22.87
"987",2011-12-12,24.02
"988",2011-12-13,23.88
"989",2011-12-14,31.77
"990",2011-12-15,37.5
"991",2011-12-17,23.79
"992",2011-12-18,20.05
"993",2011-12-19,27.08
"994",2011-12-20,20.4
"995",2011-12-21,20.97
"996",2011-12-22,22.31
"997",2011-12-23,16.11
"998",2011-12-24,17.56
