Source_ID,Site_ID,sampledate,Q_cfs,TotP_lbday,TotP_mgL
NPS EVAL MONITORING,WIDNR 133394,5/30/1995,,,0.146
NPS EVAL MONITORING,WIDNR 133394,6/1/1995,,,0.12
NPS EVAL MONITORING,WIDNR 133394,6/8/1995,,,0.16
NPS EVAL MONITORING,WIDNR 133394,6/15/1995,,,0.144
NPS EVAL MONITORING,WIDNR 133394,6/22/1995,,,0.215
NPS EVAL MONITORING,WIDNR 133394,6/29/1995,,,0.249
Nonpoint Source Evaluation 1996,WIDNR 133394,7/5/1995,,,0.383
Nonpoint Source Evaluation 1996,WIDNR 133394,7/6/1995,,,0.333
Nonpoint Source Evaluation 1996,WIDNR 133394,7/13/1995,,,0.262
Nonpoint Source Evaluation 1996,WIDNR 133394,7/20/1995,,,0.384
Nonpoint Source Evaluation 1996,WIDNR 133394,7/26/1995,,,0.289
Nonpoint Source Evaluation 1996,WIDNR 133394,8/1/1995,,,0.316
Nonpoint Source Evaluation 1996,WIDNR 133394,8/3/1995,,,0.677
Nonpoint Source Evaluation 1996,WIDNR 133394,8/10/1995,,,0.229
Nonpoint Source Evaluation 1996,WIDNR 133394,8/17/1995,,,0.259
Nonpoint Source Evaluation 1996,WIDNR 133394,8/24/1995,,,0.262
Nonpoint Source Evaluation 1996,WIDNR 133394,8/28/1995,,,0.179
Nonpoint Source Evaluation 1996,WIDNR 133394,8/29/1995,,,0.2
Nonpoint Source Evaluation 1996,WIDNR 133394,8/31/1995,,,0.181
Nonpoint Source Evaluation 1996,WIDNR 133394,9/6/1995,,,0.202
Nonpoint Source Evaluation 1996,WIDNR 133394,9/13/1995,,,0.161
Nonpoint Source Evaluation 1996,WIDNR 133394,9/20/1995,,,0.191
Nonpoint Source Evaluation 1996,WIDNR 133394,9/20/1995,,,0.158
Nonpoint Source Evaluation 1996,WIDNR 133394,9/24/1995,,,0.132
Nonpoint Source Evaluation 1996,WIDNR 133394,9/28/1995,,,0.121
Nonpoint Source Evaluation 1996,WIDNR 133394,9/28/1995,,,0.092
Nonpoint Source Evaluation 1996,WIDNR 133394,10/4/1995,,,0.083
Nonpoint Source Evaluation 1996,WIDNR 133394,10/4/1995,,,0.093
Nonpoint Source Evaluation 1996,WIDNR 133394,10/5/1995,,,0.083
Nonpoint Source Evaluation 1996,WIDNR 133394,10/5/1995,,,0.093
USGS,USGS 5427850,12/27/2001,56.1,,
USGS,USGS 5427850,12/28/2001,55.4,,
USGS,USGS 5427850,12/29/2001,54.3,,
USGS,USGS 5427850,12/30/2001,54,,
USGS,USGS 5427850,12/31/2001,53.5,,
USGS,USGS 5427850,1/1/2002,56,,
USGS,USGS 5427850,1/2/2002,55,,
USGS,USGS 5427850,1/3/2002,54,,
USGS,USGS 5427850,1/4/2002,52.6,,
USGS,USGS 5427850,1/5/2002,55.2,,
USGS,USGS 5427850,1/6/2002,53.6,,
USGS,USGS 5427850,1/7/2002,48.5,,
USGS,USGS 5427850,1/8/2002,54.4,,
USGS,USGS 5427850,1/9/2002,61.8,,
USGS,USGS 5427850,1/10/2002,59.6,,
USGS,USGS 5427850,1/11/2002,57.5,,
USGS,USGS 5427850,1/12/2002,55.3,,
USGS,USGS 5427850,1/13/2002,50.4,,
USGS,USGS 5427850,1/14/2002,50.9,,
USGS,USGS 5427850,1/15/2002,47.9,,
USGS,USGS 5427850,1/16/2002,44.4,,
USGS,USGS 5427850,1/17/2002,38.7,,
USGS,USGS 5427850,1/18/2002,38.6,,
USGS,USGS 5427850,1/19/2002,39.7,,
USGS,USGS 5427850,1/20/2002,41.7,,
USGS,USGS 5427850,1/21/2002,46,,
USGS,USGS 5427850,1/22/2002,42.4,,
USGS,USGS 5427850,1/23/2002,49.6,,
USGS,USGS 5427850,1/24/2002,47.2,,
USGS,USGS 5427850,1/25/2002,47.2,,
USGS,USGS 5427850,1/26/2002,61.5,,
USGS,USGS 5427850,1/27/2002,54.1,,
USGS,USGS 5427850,1/28/2002,60.9,,
USGS,USGS 5427850,1/29/2002,43.9,,
USGS,USGS 5427850,1/30/2002,42.7,,
USGS,USGS 5427850,1/31/2002,48.3,,
USGS,USGS 5427850,2/1/2002,39,,
USGS,USGS 5427850,2/2/2002,37.6,,
USGS,USGS 5427850,2/3/2002,44.5,,
USGS,USGS 5427850,2/4/2002,44,,
USGS,USGS 5427850,2/5/2002,46,,
USGS,USGS 5427850,2/6/2002,40.2,,
USGS,USGS 5427850,2/7/2002,44.7,,
USGS,USGS 5427850,2/8/2002,48.2,,
USGS,USGS 5427850,2/9/2002,56.2,,
USGS,USGS 5427850,2/10/2002,71,,
USGS,USGS 5427850,2/11/2002,39.5,,
TMDL 2002,WIDNR 133040,2/11/2002,,,0.03
USGS,USGS 5427850,2/12/2002,82.8,,
USGS,USGS 5427850,2/13/2002,36.9,,
USGS,USGS 5427850,2/14/2002,42.1,,
USGS,USGS 5427850,2/15/2002,76.8,,
USGS,USGS 5427850,2/16/2002,66.4,,
USGS,USGS 5427850,2/17/2002,47.7,,
USGS,USGS 5427850,2/18/2002,50.1,,
USGS,USGS 5427850,2/19/2002,116,,
USGS,USGS 5427850,2/20/2002,176,,
USGS,USGS 5427850,2/21/2002,206,,
USGS,USGS 5427850,2/22/2002,116,,
USGS,USGS 5427850,2/23/2002,74.2,,
USGS,USGS 5427850,2/24/2002,96.9,,
USGS,USGS 5427850,2/25/2002,100,,
"TMDL 2002, Mendota Yahara Tributary Study 2491-9K41 (USGS # 9KP41)",WIDNR 133040,2/25/2002,,,0.145
USGS,USGS 5427850,2/26/2002,68.6,,
USGS,USGS 5427850,2/27/2002,70.2,,
USGS,USGS 5427850,2/28/2002,66.1,,
USGS,USGS 5427850,3/1/2002,60.9,,
USGS,USGS 5427850,3/2/2002,66.6,,
USGS,USGS 5427850,3/3/2002,48.3,,
USGS,USGS 5427850,3/4/2002,54,,
USGS,USGS 5427850,3/5/2002,52.6,,
USGS,USGS 5427850,3/6/2002,54.3,,
USGS,USGS 5427850,3/7/2002,55.9,,
USGS,USGS 5427850,3/8/2002,77.3,,
USGS,USGS 5427850,3/9/2002,148,,
USGS,USGS 5427850,3/10/2002,157,,
USGS,USGS 5427850,3/11/2002,96.8,,
TMDL 2002,WIDNR 133040,3/11/2002,,,0.087
USGS,USGS 5427850,3/12/2002,78,,
USGS,USGS 5427850,3/13/2002,87.2,,
USGS,USGS 5427850,3/14/2002,101,,
USGS,USGS 5427850,3/15/2002,65.1,,
USGS,USGS 5427850,3/16/2002,72.9,,
USGS,USGS 5427850,3/17/2002,68.8,,
USGS,USGS 5427850,3/18/2002,68.4,,
USGS,USGS 5427850,3/19/2002,70.8,,
USGS,USGS 5427850,3/20/2002,58.5,,
USGS,USGS 5427850,3/21/2002,79.8,,
USGS,USGS 5427850,3/22/2002,63.2,,
USGS,USGS 5427850,3/23/2002,81.7,,
USGS,USGS 5427850,3/24/2002,119,,
USGS,USGS 5427850,3/25/2002,22.9,,
USGS,USGS 5427850,3/26/2002,45.8,,
USGS,USGS 5427850,3/27/2002,38,,
USGS,USGS 5427850,3/28/2002,80,,
USGS,USGS 5427850,3/29/2002,67.5,,
USGS,USGS 5427850,3/30/2002,55.6,,
USGS,USGS 5427850,3/31/2002,73.6,,
USGS,USGS 5427850,4/1/2002,74.7,,
USGS,USGS 5427850,4/2/2002,62.9,,
USGS,USGS 5427850,4/3/2002,61.4,,
USGS,USGS 5427850,4/4/2002,64.1,,
USGS,USGS 5427850,4/5/2002,65.6,,
USGS,USGS 5427850,4/6/2002,30.7,,
USGS,USGS 5427850,4/7/2002,82.6,,
USGS,USGS 5427850,4/8/2002,170,,
TMDL 2002,WIDNR 133040,4/8/2002,,,0.06
USGS,USGS 5427850,4/9/2002,183,,
TMDL 2002,WIDNR 133040,4/9/2002,,,0.052
USGS,USGS 5427850,4/10/2002,122,,
USGS,USGS 5427850,4/11/2002,97,,
USGS,USGS 5427850,4/12/2002,119,,
USGS,USGS 5427850,4/13/2002,85.3,,
USGS,USGS 5427850,4/14/2002,74.8,,
USGS,USGS 5427850,4/15/2002,60.6,,
USGS,USGS 5427850,4/16/2002,59,,
USGS,USGS 5427850,4/17/2002,95.6,,
USGS,USGS 5427850,4/18/2002,41.3,,
USGS,USGS 5427850,4/19/2002,107,,
USGS,USGS 5427850,4/20/2002,66.3,,
USGS,USGS 5427850,4/21/2002,64.6,,
USGS,USGS 5427850,4/22/2002,64.6,,
TMDL 2002,WIDNR 133040,4/22/2002,,,0.138
USGS,USGS 5427850,4/23/2002,63.8,,
USGS,USGS 5427850,4/24/2002,64.4,,
USGS,USGS 5427850,4/25/2002,78.7,,
USGS,USGS 5427850,4/26/2002,80.9,,
USGS,USGS 5427850,4/27/2002,83.1,,
USGS,USGS 5427850,4/28/2002,84.8,,
USGS,USGS 5427850,4/29/2002,67.3,,
TMDL 2002,WIDNR 133040,4/29/2002,,,0.122
USGS,USGS 5427850,4/30/2002,85.1,,
USGS,USGS 5427850,5/1/2002,83.1,,
USGS,USGS 5427850,5/2/2002,71.8,,
USGS,USGS 5427850,5/3/2002,84.1,,
USGS,USGS 5427850,5/4/2002,62.6,,
USGS,USGS 5427850,5/5/2002,61.3,,
USGS,USGS 5427850,5/6/2002,68,,
USGS,USGS 5427850,5/7/2002,87.5,,
USGS,USGS 5427850,5/8/2002,45,,
USGS,USGS 5427850,5/9/2002,73,,
TMDL 2002,WIDNR 133040,5/9/2002,,,0.199
USGS,USGS 5427850,5/10/2002,145,,
USGS,USGS 5427850,5/11/2002,87.3,,
USGS,USGS 5427850,5/12/2002,178,,
USGS,USGS 5427850,5/13/2002,136,,
USGS,USGS 5427850,5/14/2002,93.7,,
USGS,USGS 5427850,5/15/2002,41.4,,
USGS,USGS 5427850,5/16/2002,104,,
USGS,USGS 5427850,5/17/2002,68.9,,
TMDL 2002,WIDNR 133040,5/17/2002,,,0.161
USGS,USGS 5427850,5/18/2002,66.6,,
USGS,USGS 5427850,5/19/2002,69.8,,
USGS,USGS 5427850,5/20/2002,51.7,,
USGS,USGS 5427850,5/21/2002,58.1,,
USGS,USGS 5427850,5/22/2002,37,,
USGS,USGS 5427850,5/23/2002,88.1,,
USGS,USGS 5427850,5/24/2002,66.6,,
USGS,USGS 5427850,5/25/2002,59.5,,
USGS,USGS 5427850,5/26/2002,65,,
USGS,USGS 5427850,5/27/2002,75.4,,
USGS,USGS 5427850,5/28/2002,49.5,,
USGS,USGS 5427850,5/29/2002,98.7,,
USGS,USGS 5427850,5/30/2002,45.8,,
USGS,USGS 5427850,5/31/2002,87.5,,
USGS,USGS 5427850,6/1/2002,60.1,,
USGS,USGS 5427850,6/2/2002,72.2,,
USGS,USGS 5427850,6/3/2002,126,,
TMDL 2002,WIDNR 133040,6/3/2002,,,0.143
USGS,USGS 5427850,6/4/2002,226,,
TMDL 2002,WIDNR 133040,6/4/2002,,,0.141
USGS,USGS 5427850,6/5/2002,257,,
TMDL 2002,WIDNR 133040,6/5/2002,,,0.118
USGS,USGS 5427850,6/6/2002,146,,
TMDL 2002,WIDNR 133040,6/6/2002,,,0.165
USGS,USGS 5427850,6/7/2002,90.4,,
TMDL 2002,WIDNR 133040,6/7/2002,,,0.146
USGS,USGS 5427850,6/8/2002,95.8,,
USGS,USGS 5427850,6/9/2002,70,,
USGS,USGS 5427850,6/10/2002,42.6,,
USGS,USGS 5427850,6/11/2002,104,,
USGS,USGS 5427850,6/12/2002,98.4,,
USGS,USGS 5427850,6/13/2002,66,,
USGS,USGS 5427850,6/14/2002,68.7,,
USGS,USGS 5427850,6/15/2002,74.3,,
USGS,USGS 5427850,6/16/2002,68.1,,
USGS,USGS 5427850,6/17/2002,71.1,,
USGS,USGS 5427850,6/18/2002,61.5,,
USGS,USGS 5427850,6/19/2002,49.8,,
TMDL 2002,WIDNR 133040,6/19/2002,,,0.129
USGS,USGS 5427850,6/20/2002,73.2,,
USGS,USGS 5427850,6/21/2002,57.4,,
USGS,USGS 5427850,6/22/2002,45.1,,
USGS,USGS 5427850,6/23/2002,61.3,,
USGS,USGS 5427850,6/24/2002,49,,
USGS,USGS 5427850,6/25/2002,33.9,,
USGS,USGS 5427850,6/26/2002,58.2,,
USGS,USGS 5427850,6/27/2002,48.8,,
USGS,USGS 5427850,6/28/2002,50.1,,
USGS,USGS 5427850,6/29/2002,38.2,,
USGS,USGS 5427850,6/30/2002,35.8,,
USGS,USGS 5427850,7/1/2002,38.3,,
USGS,USGS 5427850,7/2/2002,38.3,,
USGS,USGS 5427850,7/3/2002,38.3,,
Mendota Yahara Tributary Study 2002-03,WIDNR 133040,7/3/2002,,,0.159
USGS,USGS 5427850,7/4/2002,35,,
USGS,USGS 5427850,7/5/2002,39.5,,
USGS,USGS 5427850,7/6/2002,35,,
USGS,USGS 5427850,7/7/2002,32.5,,
USGS,USGS 5427850,7/8/2002,32.1,,
USGS,USGS 5427850,7/9/2002,62.4,,
USGS,USGS 5427850,7/10/2002,55.5,,
USGS,USGS 5427850,7/11/2002,33.7,,
USGS,USGS 5427850,7/12/2002,38,,
USGS,USGS 5427850,7/13/2002,43.4,,
USGS,USGS 5427850,7/14/2002,42.7,,
USGS,USGS 5427850,7/15/2002,38.9,,
Mendota Yahara Tributary Study 2002-03,WIDNR 133040,7/15/2002,,,0.224
USGS,USGS 5427850,7/16/2002,34.9,,
USGS,USGS 5427850,7/17/2002,45.2,,
USGS,USGS 5427850,7/18/2002,48.1,,
USGS,USGS 5427850,7/19/2002,34.3,,
USGS,USGS 5427850,7/20/2002,37.1,,
USGS,USGS 5427850,7/21/2002,26.5,,
USGS,USGS 5427850,7/22/2002,78.7,,
USGS,USGS 5427850,7/23/2002,49.2,,
USGS,USGS 5427850,7/24/2002,42.9,,
USGS,USGS 5427850,7/25/2002,42,,
USGS,USGS 5427850,7/26/2002,69.9,,
Mendota Yahara Tributary Study 2002-03,WIDNR 133040,7/26/2002,,,0.217
USGS,USGS 5427850,7/27/2002,38,,
USGS,USGS 5427850,7/28/2002,50.4,,
USGS,USGS 5427850,7/29/2002,58.1,,
USGS,USGS 5427850,7/30/2002,37.8,,
Mendota Yahara Tributary Study 2002-03,WIDNR 133040,7/30/2002,,,0.183
USGS,USGS 5427850,7/31/2002,36.9,,
USGS,USGS 5427850,8/1/2002,58.5,,
USGS,USGS 5427850,8/2/2002,39.7,,
USGS,USGS 5427850,8/3/2002,38.3,,
USGS,USGS 5427850,8/4/2002,50.3,,
USGS,USGS 5427850,8/5/2002,53.1,,
USGS,USGS 5427850,8/6/2002,38.2,,
USGS,USGS 5427850,8/7/2002,37.2,,
USGS,USGS 5427850,8/8/2002,39.1,,
USGS,USGS 5427850,8/9/2002,35.6,,
Mendota Yahara Tributary Study 2002-03,WIDNR 133040,8/9/2002,,,0.174
USGS,USGS 5427850,8/10/2002,34.7,,
USGS,USGS 5427850,8/11/2002,38.4,,
USGS,USGS 5427850,8/12/2002,36,,
USGS,USGS 5427850,8/13/2002,56.4,,
USGS,USGS 5427850,8/14/2002,29.3,,
Mendota Yahara Tributary Study 2002-03,WIDNR 133040,8/14/2002,,,0.186
USGS,USGS 5427850,8/15/2002,36.9,,
USGS,USGS 5427850,8/16/2002,56.5,,
USGS,USGS 5427850,8/17/2002,51.3,,
USGS,USGS 5427850,8/18/2002,51.5,,
USGS,USGS 5427850,8/19/2002,40.2,,
USGS,USGS 5427850,8/20/2002,34.7,,
USGS,USGS 5427850,8/21/2002,31.8,,
USGS,USGS 5427850,8/22/2002,76,,
USGS,USGS 5427850,8/23/2002,55.5,,
Mendota Yahara Tributary Study 2002-03,WIDNR 133040,8/23/2002,,,0.137
Mendota Yahara Tributary Study 2002-03,WIDNR 133040,8/23/2002,,,0.138
USGS,USGS 5427850,8/24/2002,39.5,,
USGS,USGS 5427850,8/25/2002,44.4,,
USGS,USGS 5427850,8/26/2002,37.6,,
Mendota Yahara Tributary Study 2002-03,WIDNR 133040,8/26/2002,,,0.09
USGS,USGS 5427850,8/27/2002,39.4,,
USGS,USGS 5427850,8/28/2002,32.8,,
Mendota Yahara Tributary Study 2002-03,WIDNR 133040,8/28/2002,,,0.121
USGS,USGS 5427850,8/29/2002,39.9,,
USGS,USGS 5427850,8/30/2002,37.6,,
USGS,USGS 5427850,8/31/2002,38.5,,
USGS,USGS 5427850,9/1/2002,26.8,,
USGS,USGS 5427850,9/2/2002,32.3,,
USGS,USGS 5427850,9/3/2002,75.2,,
Mendota Yahara Tributary Study 2002-03,WIDNR 133040,9/3/2002,,,0.106
USGS,USGS 5427850,9/4/2002,39.3,,
USGS,USGS 5427850,9/5/2002,32.2,,
USGS,USGS 5427850,9/6/2002,43.7,,
USGS,USGS 5427850,9/7/2002,42.8,,
USGS,USGS 5427850,9/8/2002,34.6,,
USGS,USGS 5427850,9/9/2002,34.5,,
USGS,USGS 5427850,9/10/2002,48.6,,
Mendota Yahara Tributary Study 2002-03,WIDNR 133040,9/10/2002,,,0.077
USGS,USGS 5427850,9/11/2002,36.9,,
USGS,USGS 5427850,9/12/2002,34.6,,
USGS,USGS 5427850,9/13/2002,36.6,,
USGS,USGS 5427850,9/14/2002,48.8,,
USGS,USGS 5427850,9/15/2002,35.8,,
USGS,USGS 5427850,9/16/2002,36.7,,
USGS,USGS 5427850,9/17/2002,39.4,,
USGS,USGS 5427850,9/18/2002,37.9,,
USGS,USGS 5427850,9/19/2002,42.5,,
Mendota Yahara Tributary Study 2002-03,WIDNR 133040,9/19/2002,,,0.072
USGS,USGS 5427850,9/20/2002,34.3,,
USGS,USGS 5427850,9/21/2002,64.8,,
USGS,USGS 5427850,9/22/2002,46.1,,
USGS,USGS 5427850,9/23/2002,20,,
Mendota Yahara Tributary Study 2002-03,WIDNR 133040,9/23/2002,,,0.066
USGS,USGS 5427850,9/24/2002,49.1,,
USGS,USGS 5427850,9/25/2002,42.6,,
USGS,USGS 5427850,9/26/2002,51,,
USGS,USGS 5427850,9/27/2002,20.4,,
USGS,USGS 5427850,9/28/2002,35.2,,
USGS,USGS 5427850,9/29/2002,20,,
USGS,USGS 5427850,9/30/2002,12.8,,
USGS,USGS 5427850,10/1/2002,71.3,,
USGS,USGS 5427850,10/2/2002,69.5,,
Mendota Yahara Tributary Study 2002-03,WIDNR 133040,10/2/2002,,,0.074
USGS,USGS 5427850,10/3/2002,30.7,,
USGS,USGS 5427850,10/4/2002,48.1,,
Mendota Yahara Tributary Study 2002-03,WIDNR 133040,10/4/2002,,,0.061
USGS,USGS 5427850,10/5/2002,134,,
USGS,USGS 5427850,10/6/2002,47.6,,
USGS,USGS 5427850,10/7/2002,69.3,,
USGS,USGS 5427850,10/8/2002,55.4,,
USGS,USGS 5427850,10/9/2002,51.3,,
USGS,USGS 5427850,10/10/2002,43.1,,
Mendota Yahara Tributary Study 2002-03,WIDNR 133040,10/10/2002,,,0.058
USGS,USGS 5427850,10/11/2002,44.1,,
USGS,USGS 5427850,10/12/2002,45.4,,
USGS,USGS 5427850,10/13/2002,48.3,,
USGS,USGS 5427850,10/14/2002,22.4,,
USGS,USGS 5427850,10/15/2002,69.9,,
USGS,USGS 5427850,10/16/2002,39.4,,
Mendota Yahara Tributary Study 2002-03,WIDNR 133040,10/16/2002,,,0.053
USGS,USGS 5427850,10/17/2002,44.2,,
USGS,USGS 5427850,10/18/2002,27.2,,
USGS,USGS 5427850,10/19/2002,75.5,,
USGS,USGS 5427850,10/20/2002,57.6,,
USGS,USGS 5427850,10/21/2002,44.1,,
USGS,USGS 5427850,10/22/2002,63.5,,
Mendota Yahara Tributary Study 2002-03,WIDNR 133040,10/22/2002,,,0.04
USGS,USGS 5427850,10/23/2002,34.8,,
USGS,USGS 5427850,10/24/2002,39.9,,
USGS,USGS 5427850,10/25/2002,46.7,,
USGS,USGS 5427850,10/26/2002,53.4,,
USGS,USGS 5427850,10/27/2002,60.8,,
USGS,USGS 5427850,10/28/2002,58.9,,
USGS,USGS 5427850,10/29/2002,58.7,,
USGS,USGS 5427850,10/30/2002,44.7,,
USGS,USGS 5427850,10/31/2002,46.7,,
USGS,USGS 5427850,11/1/2002,40.7,,
USGS,USGS 5427850,11/2/2002,71.9,,
USGS,USGS 5427850,11/3/2002,40.6,,
USGS,USGS 5427850,11/4/2002,70.4,,
USGS,USGS 5427850,11/5/2002,56.3,,
USGS,USGS 5427850,11/6/2002,58.7,,
Mendota Yahara Tributary Study 2002-03,WIDNR 133040,11/6/2002,,,0.04
USGS,USGS 5427850,11/7/2002,10.4,,
USGS,USGS 5427850,11/8/2002,95.2,,
USGS,USGS 5427850,11/9/2002,47.9,,
USGS,USGS 5427850,11/10/2002,63.9,,
USGS,USGS 5427850,11/11/2002,87.4,,
USGS,USGS 5427850,11/12/2002,72.7,,
USGS,USGS 5427850,11/13/2002,57.7,,
USGS,USGS 5427850,11/14/2002,88.5,,
USGS,USGS 5427850,11/15/2002,57.1,,
USGS,USGS 5427850,11/16/2002,51.7,,
USGS,USGS 5427850,11/17/2002,46.3,,
USGS,USGS 5427850,11/18/2002,52.6,,
USGS,USGS 5427850,11/19/2002,54,,
USGS,USGS 5427850,11/20/2002,59.4,,
USGS,USGS 5427850,11/21/2002,58.6,,
USGS,USGS 5427850,11/22/2002,36.2,,
USGS,USGS 5427850,11/23/2002,58.4,,
USGS,USGS 5427850,11/24/2002,58.2,,
USGS,USGS 5427850,11/25/2002,47.5,,
USGS,USGS 5427850,11/26/2002,46.2,,
USGS,USGS 5427850,11/27/2002,41.6,,
USGS,USGS 5427850,11/28/2002,35.7,,
USGS,USGS 5427850,11/29/2002,60,,
USGS,USGS 5427850,11/30/2002,54.3,,
USGS,USGS 5427850,12/1/2002,39.5,,
USGS,USGS 5427850,12/2/2002,49.5,,
USGS,USGS 5427850,12/3/2002,28.8,,
USGS,USGS 5427850,12/4/2002,35.3,,
USGS,USGS 5427850,12/5/2002,38.3,,
USGS,USGS 5427850,12/6/2002,32.4,,
USGS,USGS 5427850,12/7/2002,46.5,,
USGS,USGS 5427850,12/8/2002,36.4,,
USGS,USGS 5427850,12/9/2002,31.6,,
USGS,USGS 5427850,12/10/2002,41.9,,
USGS,USGS 5427850,12/11/2002,39.8,,
USGS,USGS 5427850,12/12/2002,44.7,,
USGS,USGS 5427850,12/13/2002,48.6,,
USGS,USGS 5427850,12/14/2002,43.7,,
USGS,USGS 5427850,12/15/2002,63.6,,
USGS,USGS 5427850,12/16/2002,38.6,,
USGS,USGS 5427850,12/17/2002,46.5,,
USGS,USGS 5427850,12/18/2002,61.1,,
USGS,USGS 5427850,12/19/2002,75.5,,
USGS,USGS 5427850,12/20/2002,53.1,,
USGS,USGS 5427850,12/21/2002,57.9,,
USGS,USGS 5427850,12/22/2002,33.8,,
USGS,USGS 5427850,12/23/2002,46.7,,
USGS,USGS 5427850,12/24/2002,43.1,,
USGS,USGS 5427850,12/25/2002,43.4,,
USGS,USGS 5427850,12/26/2002,40.9,,
USGS,USGS 5427850,12/27/2002,42.1,,
USGS,USGS 5427850,12/28/2002,54.6,,
USGS,USGS 5427850,12/29/2002,51.9,,
