"","sampledate","CyanoDens_cellsmL","Chla_ugL","extTotP_kgday","Epi_TotP_mgL","Hypo_TotP_mgL","HE_ratio_TotP_mgL","Yr","MoYr","daynum","Mo"
"28",2012-08-22,738405.979526667,4.08666666666667,20.8991343718055,0.0166,0.566,34.0963855421687,2012,"08/01/2012",235,8
"29",2012-08-23,718600.68574,4.08,21.0066367999728,0.0164,0.5695,34.7256097560976,2012,"08/01/2012",236,8
"30",2012-08-24,698795.391953333,4.07333333333333,20.1305678541797,0.0162,0.573,35.3703703703704,2012,"08/01/2012",237,8
"31",2012-08-25,678990.098166667,4.06666666666667,19.21804496711,0.016,0.5765,36.03125,2012,"08/01/2012",238,8
"32",2012-08-26,659184.80438,4.06,25.6464841275837,0.0158,0.58,36.7088607594937,2012,"08/01/2012",239,8
"33",2012-08-27,639379.510593333,4.05333333333333,20.6991025436999,0.0156,0.5835,37.4038461538461,2012,"08/01/2012",240,8
"34",2012-08-28,619574.216806667,4.04666666666667,19.5168938883808,0.0154,0.587,38.1168831168831,2012,"08/01/2012",241,8
"35",2012-08-29,599768.92302,4.04,18.6922519120933,0.0152,0.5905,38.8486842105263,2012,"08/01/2012",242,8
"36",2012-08-30,579963.629233333,4.03333333333333,16.5898625954631,0.015,0.594,39.6,2012,"08/01/2012",243,8
"37",2012-08-31,560158.335446667,4.02666666666667,23.3558853565229,0.0148,0.5975,40.3716216216216,2012,"08/01/2012",244,8
"38",2012-09-01,540353.04166,4.02,19.0845354654011,0.0146,0.601,41.1643835616438,2012,"09/01/2012",245,9
"39",2012-09-02,520547.747873333,4.01333333333333,16.310855383169,0.0144,0.6045,41.9791666666667,2012,"09/01/2012",246,9
"40",2012-09-03,500742.454086667,4.00666666666667,18.3250812559083,0.0142,0.608,42.8169014084507,2012,"09/01/2012",247,9
"41",2012-09-04,480937.1603,4,27.3360553621243,0.014,0.6115,43.6785714285714,2012,"09/01/2012",248,9
"42",2012-09-05,470461.391622222,3.97454545454545,22.6871359565373,0.0145925925925926,0.610740740740741,41.8527918781726,2012,"09/01/2012",249,9
"43",2012-09-06,459985.622944444,3.94909090909091,18.4984588457498,0.0151851851851852,0.609981481481481,40.1695121951219,2012,"09/01/2012",250,9
"44",2012-09-07,449509.854266667,3.92363636363636,18.9704604565259,0.0157777777777778,0.609222222222222,38.612676056338,2012,"09/01/2012",251,9
"45",2012-09-08,439034.085588889,3.89818181818182,29.8915540353731,0.0163703703703704,0.608462962962963,37.1685520361991,2012,"09/01/2012",252,9
"46",2012-09-09,428558.316911111,3.87272727272727,19.7528658773825,0.016962962962963,0.607703703703704,35.825327510917,2012,"09/01/2012",253,9
"47",2012-09-10,418082.548233333,3.84727272727273,14.4778582459995,0.0175555555555556,0.606944444444444,34.5727848101266,2012,"09/01/2012",254,9
"48",2012-09-11,407606.779555556,3.82181818181818,16.5479527958612,0.0181481481481481,0.606185185185185,33.4020408163265,2012,"09/01/2012",255,9
"49",2013-07-14,220521.199257143,12.7428571428571,61.512715005366,0.0357142857142857,0.328928571428571,9.21,2013,"07/01/2013",195,7
"50",2013-07-15,216540.13495,13,55.8019482141998,0.035,0.33125,9.46428571428571,2013,"07/01/2013",196,7
"51",2013-07-16,212559.070642857,13.2571428571429,53.5288370168797,0.0342857142857143,0.333571428571429,9.72916666666667,2013,"07/01/2013",197,7
"52",2013-07-17,208578.006335714,13.5142857142857,53.6312995041725,0.0335714285714286,0.335892857142857,10.0053191489362,2013,"07/01/2013",198,7
"53",2013-07-18,204596.942028571,13.7714285714286,42.8901579398947,0.0328571428571429,0.338214285714286,10.2934782608696,2013,"07/01/2013",199,7
"54",2013-07-19,200615.877721429,14.0285714285714,55.1506704177014,0.0321428571428571,0.340535714285714,10.5944444444444,2013,"07/01/2013",200,7
"55",2013-07-20,196634.813414286,14.2857142857143,51.3630569876001,0.0314285714285714,0.342857142857143,10.9090909090909,2013,"07/01/2013",201,7
"56",2013-07-21,192653.749107143,14.5428571428571,112.246627541634,0.0307142857142857,0.345178571428571,11.2383720930233,2013,"07/01/2013",202,7
"57",2013-07-22,188672.6848,14.8,69.3765720958228,0.03,0.3475,11.5833333333333,2013,"07/01/2013",203,7
"58",2013-07-23,201820.957414286,14.5571428571429,75.8063543113774,0.03,0.349821428571429,11.6607142857143,2013,"07/01/2013",204,7
"59",2013-07-24,214969.230028571,14.3142857142857,51.158107547282,0.03,0.352142857142857,11.7380952380952,2013,"07/01/2013",205,7
"60",2013-07-25,228117.502642857,14.0714285714286,43.5111622079248,0.03,0.354464285714286,11.8154761904762,2013,"07/01/2013",206,7
"61",2013-07-26,241265.775257143,13.8285714285714,61.0439541327757,0.03,0.356785714285714,11.8928571428571,2013,"07/01/2013",207,7
"62",2013-07-27,254414.047871429,13.5857142857143,44.4799278212197,0.03,0.359107142857143,11.9702380952381,2013,"07/01/2013",208,7
"63",2013-07-28,267562.320485714,13.3428571428571,43.866949951608,0.03,0.361428571428571,12.047619047619,2013,"07/01/2013",209,7
"64",2013-07-29,280710.5931,13.1,39.9952256878864,0.03,0.36375,12.125,2013,"07/01/2013",210,7
"65",2013-07-30,293858.865714286,12.8571428571429,36.964826675577,0.03,0.366071428571429,12.202380952381,2013,"07/01/2013",211,7
"66",2013-07-31,307007.138328571,12.6142857142857,37.0103084721093,0.03,0.368392857142857,12.2797619047619,2013,"07/01/2013",212,7
"67",2013-08-01,320155.410942857,12.3714285714286,34.9356632960212,0.03,0.370714285714286,12.3571428571429,2013,"08/01/2013",213,8
"68",2013-08-02,333303.683557143,12.1285714285714,38.0285581283801,0.03,0.373035714285714,12.4345238095238,2013,"08/01/2013",214,8
"69",2013-08-03,346451.956171429,11.8857142857143,30.8292858384752,0.03,0.375357142857143,12.5119047619048,2013,"08/01/2013",215,8
"70",2013-08-04,359600.228785714,11.6428571428571,28.2610200454768,0.03,0.377678571428571,12.5892857142857,2013,"08/01/2013",216,8
"71",2013-08-05,372748.5014,11.4,31.1116622587238,0.03,0.38,12.6666666666667,2013,"08/01/2013",217,8
"72",2013-08-06,374459.02414375,10.975,28.1220302197102,0.029375,0.382,13.0042553191489,2013,"08/01/2013",218,8
"73",2013-08-07,376169.5468875,10.55,29.8046609655469,0.02875,0.384,13.3565217391304,2013,"08/01/2013",219,8
"74",2013-08-08,377880.06963125,10.125,26.2392697828383,0.028125,0.386,13.7244444444444,2013,"08/01/2013",220,8
"75",2013-08-09,379590.592375,9.7,26.5110351383418,0.0275,0.388,14.1090909090909,2013,"08/01/2013",221,8
"76",2013-08-10,381301.11511875,9.275,25.4594734940407,0.026875,0.39,14.5116279069767,2013,"08/01/2013",222,8
"77",2013-08-11,383011.6378625,8.85,28.160525156275,0.02625,0.392,14.9333333333333,2013,"08/01/2013",223,8
"78",2013-08-12,384722.16060625,8.425,25.5048748302591,0.025625,0.394,15.3756097560976,2013,"08/01/2013",224,8
"79",2013-08-13,386432.68335,8,23.6624409834998,0.025,0.396,15.84,2013,"08/01/2013",225,8
"80",2013-08-14,388143.20609375,7.575,23.0026980435909,0.024375,0.398,16.3282051282051,2013,"08/01/2013",226,8
"81",2013-08-15,389853.7288375,7.15,23.410028022325,0.02375,0.4,16.8421052631579,2013,"08/01/2013",227,8
"82",2013-08-16,391564.25158125,6.725,23.2526155000609,0.023125,0.402,17.3837837837838,2013,"08/01/2013",228,8
"83",2013-08-17,393274.774325,6.3,21.9400534225124,0.0225,0.404,17.9555555555556,2013,"08/01/2013",229,8
"84",2013-08-18,394985.29706875,5.875,22.8542889108502,0.021875,0.406,18.56,2013,"08/01/2013",230,8
"85",2013-08-19,396695.8198125,5.45,23.5408707592023,0.02125,0.408,19.2,2013,"08/01/2013",231,8
"86",2013-08-20,398406.34255625,5.025,20.9346341495185,0.020625,0.41,19.8787878787879,2013,"08/01/2013",232,8
"87",2013-08-21,400116.8653,4.6,41.8408542596584,0.02,0.412,20.6,2013,"08/01/2013",233,8
"88",2013-08-22,416213.969207143,4.73571428571429,89.4284479620983,0.02,0.414,20.7,2013,"08/01/2013",234,8
"89",2013-08-23,432311.073114286,4.87142857142857,55.1988679105302,0.02,0.416,20.8,2013,"08/01/2013",235,8
"90",2013-08-24,448408.177021429,5.00714285714286,31.68835110025,0.02,0.418,20.9,2013,"08/01/2013",236,8
"91",2013-08-25,464505.280928571,5.14285714285714,24.9574121994524,0.02,0.42,21,2013,"08/01/2013",237,8
"92",2013-08-26,480602.384835714,5.27857142857143,24.3084341817996,0.02,0.422,21.1,2013,"08/01/2013",238,8
"93",2013-08-27,496699.488742857,5.41428571428571,23.1850656129034,0.02,0.424,21.2,2013,"08/01/2013",239,8
"94",2013-08-28,512796.59265,5.55,23.2884088665627,0.02,0.426,21.3,2013,"08/01/2013",240,8
"95",2013-08-29,528893.696557143,5.68571428571429,20.4207314404483,0.02,0.428,21.4,2013,"08/01/2013",241,8
"96",2013-08-30,544990.800464286,5.82142857142857,24.1382750129549,0.02,0.43,21.5,2013,"08/01/2013",242,8
"97",2013-08-31,561087.904371429,5.95714285714286,20.2686279821151,0.02,0.432,21.6,2013,"08/01/2013",243,8
"98",2013-09-01,577185.008278571,6.09285714285714,21.3537321455371,0.02,0.434,21.7,2013,"09/01/2013",244,9
"99",2013-09-02,593282.112185714,6.22857142857143,22.0206924765041,0.02,0.436,21.8,2013,"09/01/2013",245,9
"100",2013-09-03,609379.216092857,6.36428571428571,20.9176304655002,0.02,0.438,21.9,2013,"09/01/2013",246,9
"101",2013-09-04,625476.32,6.5,21.1916955998494,0.02,0.44,22,2013,"09/01/2013",247,9
"102",2013-09-05,626550.191738461,6.59615384615385,19.5102636749003,0.0203846153846154,0.440769230769231,21.622641509434,2013,"09/01/2013",248,9
"103",2013-09-06,627624.063476923,6.69230769230769,19.4657360419315,0.0207692307692308,0.441538461538462,21.2592592592593,2013,"09/01/2013",249,9
"104",2013-09-07,628697.935215385,6.78846153846154,22.1752425080774,0.0211538461538462,0.442307692307692,20.9090909090909,2013,"09/01/2013",250,9
"105",2013-09-08,629771.806953846,6.88461538461539,19.2305224906342,0.0215384615384615,0.443076923076923,20.5714285714286,2013,"09/01/2013",251,9
"106",2013-09-09,630845.678692308,6.98076923076923,18.3690840528165,0.0219230769230769,0.443846153846154,20.2456140350877,2013,"09/01/2013",252,9
"107",2013-09-10,631919.550430769,7.07692307692308,23.0139002784769,0.0223076923076923,0.444615384615385,19.9310344827586,2013,"09/01/2013",253,9
"108",2013-09-11,632993.422169231,7.17307692307692,30.0930813437084,0.0226923076923077,0.445384615384615,19.6271186440678,2013,"09/01/2013",254,9
"109",2013-09-12,634067.293907692,7.26923076923077,21.3112840998225,0.0230769230769231,0.446153846153846,19.3333333333333,2013,"09/01/2013",255,9
"110",2014-07-14,333061.59835,10.95,44.4777433079193,0.045,0.325,7.22222222222222,2014,"07/01/2014",195,7
"111",2014-07-15,359898.7602,10.8285714285714,48.9125614510793,0.0442857142857143,0.327857142857143,7.40322580645161,2014,"07/01/2014",196,7
"112",2014-07-16,386735.92205,10.7071428571429,39.4931154618332,0.0435714285714286,0.330714285714286,7.59016393442623,2014,"07/01/2014",197,7
"113",2014-07-17,413573.0839,10.5857142857143,37.8876985674521,0.0428571428571429,0.333571428571429,7.78333333333333,2014,"07/01/2014",198,7
"114",2014-07-18,440410.24575,10.4642857142857,39.0332330899031,0.0421428571428571,0.336428571428571,7.98305084745763,2014,"07/01/2014",199,7
"115",2014-07-19,467247.4076,10.3428571428571,37.6361419069113,0.0414285714285714,0.339285714285714,8.18965517241379,2014,"07/01/2014",200,7
"116",2014-07-20,494084.56945,10.2214285714286,34.9924727266549,0.0407142857142857,0.342142857142857,8.40350877192982,2014,"07/01/2014",201,7
"117",2014-07-21,520921.7313,10.1,34.6740267537314,0.04,0.345,8.625,2014,"07/01/2014",202,7
"118",2014-07-22,504837.853592857,9.90714285714286,38.4298102659799,0.0392857142857143,0.347857142857143,8.85454545454546,2014,"07/01/2014",203,7
"119",2014-07-23,488753.975885714,9.71428571428571,31.7761096823702,0.0385714285714286,0.350714285714286,9.09259259259259,2014,"07/01/2014",204,7
"120",2014-07-24,472670.098178571,9.52142857142857,31.3173771998629,0.0378571428571429,0.353571428571429,9.33962264150943,2014,"07/01/2014",205,7
"121",2014-07-25,456586.220471429,9.32857142857143,32.3444218259266,0.0371428571428571,0.356428571428571,9.59615384615384,2014,"07/01/2014",206,7
"122",2014-07-26,440502.342764286,9.13571428571429,37.0032134097132,0.0364285714285714,0.359285714285714,9.86274509803922,2014,"07/01/2014",207,7
"123",2014-07-27,424418.465057143,8.94285714285714,36.3490084266347,0.0357142857142857,0.362142857142857,10.14,2014,"07/01/2014",208,7
"124",2014-07-28,408334.58735,8.75,30.075790212008,0.035,0.365,10.4285714285714,2014,"07/01/2014",209,7
"125",2014-07-29,392250.709642857,8.55714285714286,31.5783531673779,0.0342857142857143,0.367857142857143,10.7291666666667,2014,"07/01/2014",210,7
"126",2014-07-30,376166.831935714,8.36428571428571,31.4979343049778,0.0335714285714286,0.370714285714286,11.0425531914894,2014,"07/01/2014",211,7
"127",2014-07-31,360082.954228571,8.17142857142857,30.6842529768057,0.0328571428571429,0.373571428571429,11.3695652173913,2014,"07/01/2014",212,7
"128",2014-08-01,343999.076521429,7.97857142857143,57.7281950087038,0.0321428571428571,0.376428571428571,11.7111111111111,2014,"08/01/2014",213,8
"129",2014-08-02,327915.198814286,7.78571428571429,40.80423406117,0.0314285714285714,0.379285714285714,12.0681818181818,2014,"08/01/2014",214,8
"130",2014-08-03,311831.321107143,7.59285714285714,33.3828232605685,0.0307142857142857,0.382142857142857,12.4418604651163,2014,"08/01/2014",215,8
"131",2014-08-04,295747.4434,7.4,104.88036956498,0.03,0.385,12.8333333333333,2014,"08/01/2014",216,8
"132",2014-08-05,318516.29128125,7.225,138.047862578473,0.03,0.385689655172414,12.8563218390805,2014,"08/01/2014",217,8
"133",2014-08-06,341285.1391625,7.05,66.0637082178243,0.03,0.386379310344828,12.8793103448276,2014,"08/01/2014",218,8
"134",2014-08-07,364053.98704375,6.875,51.7145806307289,0.03,0.387068965517241,12.9022988505747,2014,"08/01/2014",219,8
"135",2014-08-08,386822.834925,6.7,44.2204821391658,0.03,0.387758620689655,12.9252873563218,2014,"08/01/2014",220,8
"136",2014-08-09,409591.68280625,6.525,41.5980002831682,0.03,0.388448275862069,12.948275862069,2014,"08/01/2014",221,8
"137",2014-08-10,432360.5306875,6.35,39.4432787649336,0.03,0.389137931034483,12.9712643678161,2014,"08/01/2014",222,8
"138",2014-08-11,455129.37856875,6.175,50.2237242731365,0.03,0.389827586206897,12.9942528735632,2014,"08/01/2014",223,8
"139",2014-08-12,477898.22645,6,36.483805910853,0.03,0.39051724137931,13.0172413793103,2014,"08/01/2014",224,8
"140",2014-08-13,500667.07433125,5.825,38.2906736458189,0.03,0.391206896551724,13.0402298850575,2014,"08/01/2014",225,8
"141",2014-08-14,523435.9222125,5.65,35.2705747068501,0.03,0.391896551724138,13.0632183908046,2014,"08/01/2014",226,8
"142",2014-08-15,546204.77009375,5.475,30.2930459157235,0.03,0.392586206896552,13.0862068965517,2014,"08/01/2014",227,8
"143",2014-08-16,568973.617975,5.3,37.9995069645219,0.03,0.393275862068966,13.1091954022989,2014,"08/01/2014",228,8
"144",2014-08-17,591742.46585625,5.125,34.6217190178594,0.03,0.393965517241379,13.132183908046,2014,"08/01/2014",229,8
"145",2014-08-18,614511.3137375,4.95,29.3173280418636,0.03,0.394655172413793,13.1551724137931,2014,"08/01/2014",230,8
"146",2014-08-19,637280.16161875,4.775,57.9625466286127,0.03,0.395344827586207,13.1781609195402,2014,"08/01/2014",231,8
"147",2014-08-20,660049.0095,4.6,35.350063871419,0.03,0.396034482758621,13.2011494252874,2014,"08/01/2014",232,8
"148",2014-08-21,680057.967861539,4.81538461538462,52.2052057842639,0.0292307692307692,0.396724137931035,13.5721415607985,2014,"08/01/2014",233,8
"149",2014-08-22,700066.926223077,5.03076923076923,35.2704034467233,0.0284615384615385,0.397413793103448,13.9631873252563,2014,"08/01/2014",234,8
"150",2014-08-23,720075.884584615,5.24615384615385,34.1457713610501,0.0276923076923077,0.398103448275862,14.3759578544061,2014,"08/01/2014",235,8
"151",2014-08-24,740084.842946154,5.46153846153846,30.4066647769909,0.0269230769230769,0.398793103448276,14.812315270936,2014,"08/01/2014",236,8
"152",2014-08-25,760093.801307692,5.67692307692308,109.415131451529,0.0261538461538462,0.39948275862069,15.2743407707911,2014,"08/01/2014",237,8
"153",2014-08-26,780102.759669231,5.89230769230769,85.8458923270053,0.0253846153846154,0.400172413793103,15.764367816092,2014,"08/01/2014",238,8
"154",2014-08-27,800111.718030769,6.10769230769231,62.0211820247566,0.0246153846153846,0.400862068965517,16.2850215517241,2014,"08/01/2014",239,8
"155",2014-08-28,820120.676392308,6.32307692307692,48.3355947959022,0.0238461538461538,0.401551724137931,16.8392658509455,2014,"08/01/2014",240,8
"156",2014-08-29,840129.634753846,6.53846153846154,31.7391040849286,0.0230769230769231,0.402241379310345,17.4304597701149,2014,"08/01/2014",241,8
"157",2014-08-30,860138.593115385,6.75384615384615,54.6852597122588,0.0223076923076923,0.402931034482759,18.0624256837099,2014,"08/01/2014",242,8
"158",2014-08-31,880147.551476923,6.96923076923077,41.5715772921758,0.0215384615384615,0.403620689655172,18.7395320197044,2014,"08/01/2014",243,8
"159",2014-09-01,900156.509838462,7.18461538461538,40.2105281255732,0.0207692307692308,0.404310344827586,19.4667943805875,2014,"09/01/2014",244,9
"160",2014-09-02,920165.4682,7.4,35.5082348313875,0.02,0.405,20.25,2014,"09/01/2014",245,9
"161",2014-09-03,895025.710580769,7.38076923076923,22.9176062263024,0.0212068965517241,0.399741379310345,18.849593495935,2014,"09/01/2014",246,9
"162",2014-09-04,869885.952961538,7.36153846153846,259.630763813427,0.0224137931034483,0.39448275862069,17.6,2014,"09/01/2014",247,9
"163",2014-09-05,844746.195342308,7.34230769230769,140.881240891782,0.0236206896551724,0.389224137931034,16.478102189781,2014,"09/01/2014",248,9
"164",2014-09-06,819606.437723077,7.32307692307692,70.04858884827,0.0248275862068966,0.383965517241379,15.4652777777778,2014,"09/01/2014",249,9
"165",2014-09-07,794466.680103846,7.30384615384615,52.5253994682101,0.0260344827586207,0.378706896551724,14.546357615894,2014,"09/01/2014",250,9
"166",2014-09-08,769326.922484615,7.28461538461539,39.3750193715365,0.0272413793103448,0.373448275862069,13.7088607594937,2014,"09/01/2014",251,9
"167",2014-09-09,744187.164865385,7.26538461538462,36.1760309898195,0.028448275862069,0.368189655172414,12.9424242424242,2014,"09/01/2014",252,9
"168",2014-09-10,719047.407246154,7.24615384615385,49.2807558812906,0.0296551724137931,0.362931034482759,12.2383720930233,2014,"09/01/2014",253,9
"169",2014-09-11,693907.649626923,7.22692307692308,28.2402241729365,0.0308620689655172,0.357672413793103,11.5893854748603,2014,"09/01/2014",254,9
"170",2014-09-12,668767.892007692,7.20769230769231,32.6730890500678,0.0320689655172414,0.352413793103448,10.989247311828,2014,"09/01/2014",255,9
"171",2015-07-14,286672.98605,13.95,64.5552000894812,0.04,0.375192307692308,9.37980769230769,2015,"07/01/2015",195,7
"172",2015-07-15,292637.989058333,14.025,40.3234090223052,0.0395,0.376057692307692,9.52044790652386,2015,"07/01/2015",196,7
"173",2015-07-16,298602.992066667,14.1,68.1120895866623,0.039,0.376923076923077,9.6646942800789,2015,"07/01/2015",197,7
"174",2015-07-17,304567.995075,14.175,57.139734461853,0.0385,0.377788461538462,9.81268731268731,2015,"07/01/2015",198,7
"175",2015-07-18,310532.998083333,14.25,147.092149290206,0.038,0.378653846153846,9.96457489878543,2015,"07/01/2015",199,7
"176",2015-07-19,316498.001091667,14.325,98.7291552979354,0.0375,0.379519230769231,10.1205128205128,2015,"07/01/2015",200,7
"177",2015-07-20,322463.0041,14.4,59.3553756537646,0.037,0.380384615384615,10.2806652806653,2015,"07/01/2015",201,7
"178",2015-07-21,356267.099042857,13.9428571428571,50.0633394195618,0.0365,0.38125,10.4452054794521,2015,"07/01/2015",202,7
"179",2015-07-22,390071.193985714,13.4857142857143,45.9787119981198,0.036,0.382115384615385,10.6143162393162,2015,"07/01/2015",203,7
"180",2015-07-23,423875.288928571,13.0285714285714,42.2071236227407,0.0355,0.382980769230769,10.7881906825569,2015,"07/01/2015",204,7
"181",2015-07-24,457679.383871429,12.5714285714286,37.7824469866656,0.035,0.383846153846154,10.967032967033,2015,"07/01/2015",205,7
"182",2015-07-25,491483.478814286,12.1142857142857,44.4410407167554,0.0345,0.384711538461538,11.1510590858417,2015,"07/01/2015",206,7
"183",2015-07-26,525287.573757143,11.6571428571429,43.283077602245,0.034,0.385576923076923,11.3404977375566,2015,"07/01/2015",207,7
"184",2015-07-27,559091.6687,11.2,38.7696392890213,0.0335,0.386442307692308,11.5355912743972,2015,"07/01/2015",208,7
"185",2015-07-28,592895.763642857,10.7428571428571,39.7733214950148,0.033,0.387307692307692,11.7365967365967,2015,"07/01/2015",209,7
"186",2015-07-29,626699.858585714,10.2857142857143,77.0730961718377,0.0325,0.388173076923077,11.9437869822485,2015,"07/01/2015",210,7
"187",2015-07-30,660503.953528571,9.82857142857143,45.9586011660866,0.032,0.389038461538462,12.1574519230769,2015,"07/01/2015",211,7
"188",2015-07-31,694308.048471428,9.37142857142857,42.8203816710888,0.0315,0.389903846153846,12.3778998778999,2015,"07/01/2015",212,7
"189",2015-08-01,728112.143414286,8.91428571428571,39.2342680130371,0.031,0.390769230769231,12.605459057072,2015,"08/01/2015",213,8
"190",2015-08-02,761916.238357143,8.45714285714286,29.1571508918382,0.0305,0.391634615384615,12.8404791929382,2015,"08/01/2015",214,8
"191",2015-08-03,795720.3333,8,46.2916287155207,0.03,0.3925,13.0833333333333,2015,"08/01/2015",215,8
"192",2015-08-04,781759.39996,8.04666666666667,40.4576524959861,0.0295333333333333,0.394642857142857,13.3626249596904,2015,"08/01/2015",216,8
"193",2015-08-05,767798.46662,8.09333333333333,41.1113034685273,0.0290666666666667,0.396785714285714,13.6508846657929,2015,"08/01/2015",217,8
"194",2015-08-06,753837.53328,8.14,35.1938012385777,0.0286,0.398928571428571,13.9485514485515,2015,"08/01/2015",218,8
"195",2015-08-07,739876.59994,8.18666666666667,53.5160235258664,0.0281333333333333,0.401071428571429,14.2560934326337,2015,"08/01/2015",219,8
"196",2015-08-08,725915.6666,8.23333333333333,57.3640851264568,0.0276666666666667,0.403214285714286,14.5740103270224,2015,"08/01/2015",220,8
"197",2015-08-09,711954.73326,8.28,46.1662595469211,0.0272,0.405357142857143,14.9028361344538,2015,"08/01/2015",221,8
"198",2015-08-10,697993.79992,8.32666666666667,44.6208749055783,0.0267333333333333,0.4075,15.2431421446384,2015,"08/01/2015",222,8
"199",2015-08-11,684032.86658,8.37333333333333,42.430789348345,0.0262666666666667,0.409642857142857,15.5955402465555,2015,"08/01/2015",223,8
"200",2015-08-12,670071.93324,8.42,40.7707160077815,0.0258,0.411785714285714,15.9606866002215,2015,"08/01/2015",224,8
"201",2015-08-13,656110.9999,8.46666666666667,35.1772134720102,0.0253333333333333,0.413928571428571,16.3392857142857,2015,"08/01/2015",225,8
"202",2015-08-14,642150.06656,8.51333333333333,42.5859265574959,0.0248666666666667,0.416071428571429,16.7320949827652,2015,"08/01/2015",226,8
"203",2015-08-15,628189.13322,8.56,33.5032680611757,0.0244,0.418214285714286,17.1399297423888,2015,"08/01/2015",227,8
"204",2015-08-16,614228.19988,8.60666666666667,32.4075702356243,0.0239333333333333,0.420357142857143,17.5636689216076,2015,"08/01/2015",228,8
"205",2015-08-17,600267.26654,8.65333333333333,60.4871204102785,0.0234666666666667,0.4225,18.0042613636364,2015,"08/01/2015",229,8
"206",2015-08-18,586306.3332,8.7,116.18280539435,0.023,0.424642857142857,18.4627329192547,2015,"08/01/2015",230,8
"207",2015-08-19,585018.729923077,8.84615384615384,134.045548936506,0.02338,0.426785714285714,18.2543077111084,2015,"08/01/2015",231,8
