Source_ID,Site_ID,sampledate,Q_cfs,SRP_mgL,SRP_lbday
NPS EVAL MONITORING,WIDNR 133394,3/28/1995,,0.009,
NPS EVAL MONITORING,WIDNR 133394,4/6/1995,,0.007,
NPS EVAL MONITORING,WIDNR 133394,4/11/1995,,0.003,
NPS EVAL MONITORING,WIDNR 133394,4/12/1995,,0.002,
NPS EVAL MONITORING,WIDNR 133394,4/18/1995,,0,
NPS EVAL MONITORING,WIDNR 133394,4/19/1995,,0.003,
NPS EVAL MONITORING,WIDNR 133394,4/27/1995,,0.003,
NPS EVAL MONITORING,WIDNR 133394,4/27/1995,,0.002,
NPS EVAL MONITORING,WIDNR 133394,4/28/1995,,0.002,
NPS EVAL MONITORING,WIDNR 133394,5/4/1995,,0.003,
NPS EVAL MONITORING,WIDNR 133394,5/8/1995,,0.002,
NPS EVAL MONITORING,WIDNR 133394,5/9/1995,,0,
NPS EVAL MONITORING,WIDNR 133394,5/9/1995,,0,
NPS EVAL MONITORING,WIDNR 133394,5/10/1995,,0.005,
NPS EVAL MONITORING,WIDNR 133394,5/12/1995,,0.002,
NPS EVAL MONITORING,WIDNR 133394,5/17/1995,,0.004,
NPS EVAL MONITORING,WIDNR 133394,5/19/1995,,0.001,
NPS EVAL MONITORING,WIDNR 133394,5/25/1995,,0,
NPS EVAL MONITORING,WIDNR 133394,5/30/1995,,0.002,
NPS EVAL MONITORING,WIDNR 133394,6/1/1995,,0,
NPS EVAL MONITORING,WIDNR 133394,6/8/1995,,0.003,
NPS EVAL MONITORING,WIDNR 133394,6/15/1995,,0.002,
NPS EVAL MONITORING,WIDNR 133394,6/22/1995,,0.004,
NPS EVAL MONITORING,WIDNR 133394,6/29/1995,,0.004,
Nonpoint Source Evaluation 1996,WIDNR 133394,7/6/1995,,0.007,
Nonpoint Source Evaluation 1996,WIDNR 133394,7/13/1995,,0.002,
Nonpoint Source Evaluation 1996,WIDNR 133394,7/20/1995,,0.007,
Nonpoint Source Evaluation 1996,WIDNR 133394,7/26/1995,,0,
Nonpoint Source Evaluation 1996,WIDNR 133394,8/3/1995,,0.023,
Nonpoint Source Evaluation 1996,WIDNR 133394,8/10/1995,,0.002,
Nonpoint Source Evaluation 1996,WIDNR 133394,8/17/1995,,0.004,
Nonpoint Source Evaluation 1996,WIDNR 133394,8/24/1995,,0.005,
Nonpoint Source Evaluation 1996,WIDNR 133394,8/28/1995,,0.002,
Nonpoint Source Evaluation 1996,WIDNR 133394,8/31/1995,,0,
Nonpoint Source Evaluation 1996,WIDNR 133394,9/6/1995,,0.002,
Nonpoint Source Evaluation 1996,WIDNR 133394,9/13/1995,,0,
Nonpoint Source Evaluation 1996,WIDNR 133394,9/20/1995,,0.003,
Nonpoint Source Evaluation 1996,WIDNR 133394,9/28/1995,,0.08,
Nonpoint Source Evaluation 1996,WIDNR 133394,9/28/1995,,0.003,
Nonpoint Source Evaluation 1996,WIDNR 133394,10/4/1995,,0.003,
USGS,USGS 5427850,12/27/2001,56.1,,
USGS,USGS 5427850,12/28/2001,55.4,,
USGS,USGS 5427850,12/29/2001,54.3,,
USGS,USGS 5427850,12/30/2001,54,,
USGS,USGS 5427850,12/31/2001,53.5,,
USGS,USGS 5427850,1/1/2002,56,12.5,
USGS,USGS 5427850,1/2/2002,55,12.3,
USGS,USGS 5427850,1/3/2002,54,12,
USGS,USGS 5427850,1/4/2002,52.6,11.8,
USGS,USGS 5427850,1/5/2002,55.2,12.3,
USGS,USGS 5427850,1/6/2002,53.6,12.1,
USGS,USGS 5427850,1/7/2002,48.5,11,
USGS,USGS 5427850,1/8/2002,54.4,12.1,
USGS,USGS 5427850,1/9/2002,61.8,13.9,
USGS,USGS 5427850,1/10/2002,59.6,13.5,
USGS,USGS 5427850,1/11/2002,57.5,13.1,
USGS,USGS 5427850,1/12/2002,55.3,12.4,
USGS,USGS 5427850,1/13/2002,50.4,11.4,
USGS,USGS 5427850,1/14/2002,50.9,11.6,
USGS,USGS 5427850,1/15/2002,47.9,11,
USGS,USGS 5427850,1/16/2002,44.4,10.1,
USGS,USGS 5427850,1/17/2002,38.7,9.04,
USGS,USGS 5427850,1/18/2002,38.6,9.07,
USGS,USGS 5427850,1/19/2002,39.7,9.33,
USGS,USGS 5427850,1/20/2002,41.7,9.83,
USGS,USGS 5427850,1/21/2002,46,10.8,
USGS,USGS 5427850,1/22/2002,42.4,9.92,
USGS,USGS 5427850,1/23/2002,49.6,11.8,
USGS,USGS 5427850,1/24/2002,47.2,11.2,
USGS,USGS 5427850,1/25/2002,47.2,11.2,
USGS,USGS 5427850,1/26/2002,61.5,14.5,
USGS,USGS 5427850,1/27/2002,54.1,13,
USGS,USGS 5427850,1/28/2002,60.9,14.7,
USGS,USGS 5427850,1/29/2002,43.9,10.8,
USGS,USGS 5427850,1/30/2002,42.7,10.6,
USGS,USGS 5427850,1/31/2002,48.3,11.9,
USGS,USGS 5427850,2/1/2002,39,9.76,
USGS,USGS 5427850,2/2/2002,37.6,9.58,
USGS,USGS 5427850,2/3/2002,44.5,11.4,
USGS,USGS 5427850,2/4/2002,44,11.2,
USGS,USGS 5427850,2/5/2002,46,11.8,
USGS,USGS 5427850,2/6/2002,40.2,10.4,
USGS,USGS 5427850,2/7/2002,44.7,11.7,
USGS,USGS 5427850,2/8/2002,48.2,12.6,
USGS,USGS 5427850,2/9/2002,56.2,14.7,
USGS,USGS 5427850,2/10/2002,71,18.7,
USGS,USGS 5427850,2/11/2002,39.5,6.31,
USGS,USGS 5427850,2/12/2002,82.8,22.1,
USGS,USGS 5427850,2/13/2002,36.9,10.2,
USGS,USGS 5427850,2/14/2002,42.1,11.6,
USGS,USGS 5427850,2/15/2002,76.8,21.1,
USGS,USGS 5427850,2/16/2002,66.4,18.3,
USGS,USGS 5427850,2/17/2002,47.7,13.6,
USGS,USGS 5427850,2/18/2002,50.1,14.3,
USGS,USGS 5427850,2/19/2002,116,32.6,
USGS,USGS 5427850,2/20/2002,176,49.1,
USGS,USGS 5427850,2/21/2002,206,57.7,
USGS,USGS 5427850,2/22/2002,116,33.5,
USGS,USGS 5427850,2/23/2002,74.2,21.9,
USGS,USGS 5427850,2/24/2002,96.9,28.8,
USGS,USGS 5427850,2/25/2002,100,78.2,
USGS,USGS 5427850,2/26/2002,68.6,21.2,
USGS,USGS 5427850,2/27/2002,70.2,21.7,
USGS,USGS 5427850,2/28/2002,66.1,20.7,
USGS,USGS 5427850,3/1/2002,60.9,19.4,
USGS,USGS 5427850,3/2/2002,66.6,21.5,
USGS,USGS 5427850,3/3/2002,48.3,15.7,
USGS,USGS 5427850,3/4/2002,54,17.8,
USGS,USGS 5427850,3/5/2002,52.6,17.7,
USGS,USGS 5427850,3/6/2002,54.3,18.2,
USGS,USGS 5427850,3/7/2002,55.9,19.1,
USGS,USGS 5427850,3/8/2002,77.3,26.3,
USGS,USGS 5427850,3/9/2002,148,50,
USGS,USGS 5427850,3/10/2002,157,53.5,
USGS,USGS 5427850,3/11/2002,96.8,45.5,
USGS,USGS 5427850,3/12/2002,78,27.9,
USGS,USGS 5427850,3/13/2002,87.2,31.4,
USGS,USGS 5427850,3/14/2002,101,36.7,
USGS,USGS 5427850,3/15/2002,65.1,24.2,
USGS,USGS 5427850,3/16/2002,72.9,27.5,
USGS,USGS 5427850,3/17/2002,68.8,26.3,
USGS,USGS 5427850,3/18/2002,68.4,26.3,
USGS,USGS 5427850,3/19/2002,70.8,27.7,
USGS,USGS 5427850,3/20/2002,58.5,23.1,
USGS,USGS 5427850,3/21/2002,79.8,31.9,
USGS,USGS 5427850,3/22/2002,63.2,25.6,
USGS,USGS 5427850,3/23/2002,81.7,33.5,
USGS,USGS 5427850,3/24/2002,119,48.6,
USGS,USGS 5427850,3/25/2002,22.9,9.96,
USGS,USGS 5427850,3/26/2002,45.8,19.9,
USGS,USGS 5427850,3/27/2002,38,16.7,
USGS,USGS 5427850,3/28/2002,80,34.8,
USGS,USGS 5427850,3/29/2002,67.5,29.7,
USGS,USGS 5427850,3/30/2002,55.6,25.3,
USGS,USGS 5427850,3/31/2002,73.6,33.5,
USGS,USGS 5427850,4/1/2002,74.7,34.4,
USGS,USGS 5427850,4/2/2002,62.9,29.4,
USGS,USGS 5427850,4/3/2002,61.4,28.9,
USGS,USGS 5427850,4/4/2002,64.1,30.6,
USGS,USGS 5427850,4/5/2002,65.6,32,
USGS,USGS 5427850,4/6/2002,30.7,15.5,
USGS,USGS 5427850,4/7/2002,82.6,40.9,
USGS,USGS 5427850,4/8/2002,170,55,
USGS,USGS 5427850,4/9/2002,183,51.3,
USGS,USGS 5427850,4/10/2002,122,61.7,
USGS,USGS 5427850,4/11/2002,97,50,
USGS,USGS 5427850,4/12/2002,119,61.7,
USGS,USGS 5427850,4/13/2002,85.3,45.1,
USGS,USGS 5427850,4/14/2002,74.8,40.5,
USGS,USGS 5427850,4/15/2002,60.6,33.5,
USGS,USGS 5427850,4/16/2002,59,32.9,
USGS,USGS 5427850,4/17/2002,95.6,53.3,
USGS,USGS 5427850,4/18/2002,41.3,23.6,
USGS,USGS 5427850,4/19/2002,107,60.7,
USGS,USGS 5427850,4/20/2002,66.3,38.5,
USGS,USGS 5427850,4/21/2002,64.6,38.4,
USGS,USGS 5427850,4/22/2002,64.6,48.4,
USGS,USGS 5427850,4/23/2002,63.8,38.7,
USGS,USGS 5427850,4/24/2002,64.4,39.1,
USGS,USGS 5427850,4/25/2002,78.7,48.5,
USGS,USGS 5427850,4/26/2002,80.9,50.3,
USGS,USGS 5427850,4/27/2002,83.1,52.1,
USGS,USGS 5427850,4/28/2002,84.8,53.9,
USGS,USGS 5427850,4/29/2002,67.3,44.1,
USGS,USGS 5427850,4/30/2002,85.1,55.1,
USGS,USGS 5427850,5/1/2002,83.1,54.5,
USGS,USGS 5427850,5/2/2002,71.8,48,
USGS,USGS 5427850,5/3/2002,84.1,56.3,
USGS,USGS 5427850,5/4/2002,62.6,43.1,
USGS,USGS 5427850,5/5/2002,61.3,42.2,
USGS,USGS 5427850,5/6/2002,68,47.4,
USGS,USGS 5427850,5/7/2002,87.5,61.4,
USGS,USGS 5427850,5/8/2002,45,32.4,
USGS,USGS 5427850,5/9/2002,73,78.4,
USGS,USGS 5427850,5/10/2002,145,102,
USGS,USGS 5427850,5/11/2002,87.3,63.2,
USGS,USGS 5427850,5/12/2002,178,127,
USGS,USGS 5427850,5/13/2002,136,99.2,
USGS,USGS 5427850,5/14/2002,93.7,70.1,
USGS,USGS 5427850,5/15/2002,41.4,31.6,
USGS,USGS 5427850,5/16/2002,104,78.7,
USGS,USGS 5427850,5/17/2002,68.9,59.9,
USGS,USGS 5427850,5/18/2002,66.6,52.4,
USGS,USGS 5427850,5/19/2002,69.8,55.1,
USGS,USGS 5427850,5/20/2002,51.7,41.6,
USGS,USGS 5427850,5/21/2002,58.1,46.7,
USGS,USGS 5427850,5/22/2002,37,30.4,
USGS,USGS 5427850,5/23/2002,88.1,71.1,
USGS,USGS 5427850,5/24/2002,66.6,55,
USGS,USGS 5427850,5/25/2002,59.5,49.8,
USGS,USGS 5427850,5/26/2002,65,54.2,
USGS,USGS 5427850,5/27/2002,75.4,62.7,
USGS,USGS 5427850,5/28/2002,49.5,42.6,
USGS,USGS 5427850,5/29/2002,98.7,83.2,
USGS,USGS 5427850,5/30/2002,45.8,39.8,
USGS,USGS 5427850,5/31/2002,87.5,74.4,
USGS,USGS 5427850,6/1/2002,60.1,52.3,
USGS,USGS 5427850,6/2/2002,72.2,62.8,
USGS,USGS 5427850,6/3/2002,126,98,
USGS,USGS 5427850,6/4/2002,226,172,
USGS,USGS 5427850,6/5/2002,257,164,
USGS,USGS 5427850,6/6/2002,146,130,
USGS,USGS 5427850,6/7/2002,90.4,70.9,
USGS,USGS 5427850,6/8/2002,95.8,85.7,
USGS,USGS 5427850,6/9/2002,70,63.4,
USGS,USGS 5427850,6/10/2002,42.6,39.7,
USGS,USGS 5427850,6/11/2002,104,93.9,
USGS,USGS 5427850,6/12/2002,98.4,89,
USGS,USGS 5427850,6/13/2002,66,61,
USGS,USGS 5427850,6/14/2002,68.7,63.9,
USGS,USGS 5427850,6/15/2002,74.3,68.6,
USGS,USGS 5427850,6/16/2002,68.1,63.5,
USGS,USGS 5427850,6/17/2002,71.1,66.4,
USGS,USGS 5427850,6/18/2002,61.5,58.4,
USGS,USGS 5427850,6/19/2002,49.8,34.8,
USGS,USGS 5427850,6/20/2002,73.2,68.8,
USGS,USGS 5427850,6/21/2002,57.4,54.2,
USGS,USGS 5427850,6/22/2002,45.1,43.2,
USGS,USGS 5427850,6/23/2002,61.3,58.2,
USGS,USGS 5427850,6/24/2002,49,47.1,
USGS,USGS 5427850,6/25/2002,33.9,33,
USGS,USGS 5427850,6/26/2002,58.2,55.7,
USGS,USGS 5427850,6/27/2002,48.8,47.3,
USGS,USGS 5427850,6/28/2002,50.1,48.3,
USGS,USGS 5427850,6/29/2002,38.2,37,
USGS,USGS 5427850,6/30/2002,35.8,35.1,
USGS,USGS 5427850,7/1/2002,38.3,37,
USGS,USGS 5427850,7/2/2002,38.3,37,
USGS,USGS 5427850,7/3/2002,38.3,32.6,
USGS,USGS 5427850,7/4/2002,35,34.2,
USGS,USGS 5427850,7/5/2002,39.5,38.9,
USGS,USGS 5427850,7/6/2002,35,34.1,
USGS,USGS 5427850,7/7/2002,32.5,32.2,
USGS,USGS 5427850,7/8/2002,32.1,31.2,
USGS,USGS 5427850,7/9/2002,62.4,59.3,
USGS,USGS 5427850,7/10/2002,55.5,52.7,
USGS,USGS 5427850,7/11/2002,33.7,32.9,
USGS,USGS 5427850,7/12/2002,38,36.6,
USGS,USGS 5427850,7/13/2002,43.4,41.2,
USGS,USGS 5427850,7/14/2002,42.7,41.1,
USGS,USGS 5427850,7/15/2002,38.9,47.1,
USGS,USGS 5427850,7/16/2002,34.9,33.5,
USGS,USGS 5427850,7/17/2002,45.2,42.6,
USGS,USGS 5427850,7/18/2002,48.1,45.2,
USGS,USGS 5427850,7/19/2002,34.3,32.2,
USGS,USGS 5427850,7/20/2002,37.1,34.9,
USGS,USGS 5427850,7/21/2002,26.5,25.5,
USGS,USGS 5427850,7/22/2002,78.7,72.3,
USGS,USGS 5427850,7/23/2002,49.2,45.3,
USGS,USGS 5427850,7/24/2002,42.9,39.7,
USGS,USGS 5427850,7/25/2002,42,38.6,
USGS,USGS 5427850,7/26/2002,69.9,82,
USGS,USGS 5427850,7/27/2002,38,34.7,
USGS,USGS 5427850,7/28/2002,50.4,45.1,
USGS,USGS 5427850,7/29/2002,58.1,51.8,
USGS,USGS 5427850,7/30/2002,37.8,37.5,
USGS,USGS 5427850,7/31/2002,36.9,33.1,
USGS,USGS 5427850,8/1/2002,58.5,51.7,
USGS,USGS 5427850,8/2/2002,39.7,35.2,
USGS,USGS 5427850,8/3/2002,38.3,33.3,
USGS,USGS 5427850,8/4/2002,50.3,43.2,
USGS,USGS 5427850,8/5/2002,53.1,45.4,
USGS,USGS 5427850,8/6/2002,38.2,32.6,
USGS,USGS 5427850,8/7/2002,37.2,31.6,
USGS,USGS 5427850,8/8/2002,39.1,33,
USGS,USGS 5427850,8/9/2002,35.6,33.8,
USGS,USGS 5427850,8/10/2002,34.7,29.2,
USGS,USGS 5427850,8/11/2002,38.4,31.4,
USGS,USGS 5427850,8/12/2002,36,29.6,
USGS,USGS 5427850,8/13/2002,56.4,45.1,
USGS,USGS 5427850,8/14/2002,29.3,29.1,
USGS,USGS 5427850,8/15/2002,36.9,29.6,
USGS,USGS 5427850,8/16/2002,56.5,44.8,
USGS,USGS 5427850,8/17/2002,51.3,39.8,
USGS,USGS 5427850,8/18/2002,51.5,40.2,
USGS,USGS 5427850,8/19/2002,40.2,30.9,
USGS,USGS 5427850,8/20/2002,34.7,26.9,
USGS,USGS 5427850,8/21/2002,31.8,24.4,
USGS,USGS 5427850,8/22/2002,76,56.2,
USGS,USGS 5427850,8/23/2002,55.5,41,
USGS,USGS 5427850,8/24/2002,39.5,19.4,
USGS,USGS 5427850,8/25/2002,44.4,32,
USGS,USGS 5427850,8/26/2002,37.6,27.5,
USGS,USGS 5427850,8/27/2002,39.4,27.9,
USGS,USGS 5427850,8/28/2002,32.8,21.5,
USGS,USGS 5427850,8/29/2002,39.9,28,
USGS,USGS 5427850,8/30/2002,37.6,26.3,
USGS,USGS 5427850,8/31/2002,38.5,26.1,
USGS,USGS 5427850,9/1/2002,26.8,18.5,
USGS,USGS 5427850,9/2/2002,32.3,21.6,
USGS,USGS 5427850,9/3/2002,75.2,42.9,
USGS,USGS 5427850,9/4/2002,39.3,25.6,
USGS,USGS 5427850,9/5/2002,32.2,20.9,
USGS,USGS 5427850,9/6/2002,43.7,28.1,
USGS,USGS 5427850,9/7/2002,42.8,27.2,
USGS,USGS 5427850,9/8/2002,34.6,22,
USGS,USGS 5427850,9/9/2002,34.5,21.8,
USGS,USGS 5427850,9/10/2002,48.6,20.4,
USGS,USGS 5427850,9/11/2002,36.9,22.4,
USGS,USGS 5427850,9/12/2002,34.6,21,
USGS,USGS 5427850,9/13/2002,36.6,21.9,
USGS,USGS 5427850,9/14/2002,48.8,28.5,
USGS,USGS 5427850,9/15/2002,35.8,20.8,
USGS,USGS 5427850,9/16/2002,36.7,21.1,
USGS,USGS 5427850,9/17/2002,39.4,22,
USGS,USGS 5427850,9/18/2002,37.9,21.2,
USGS,USGS 5427850,9/19/2002,42.5,16.7,
USGS,USGS 5427850,9/20/2002,34.3,18.5,
USGS,USGS 5427850,9/21/2002,64.8,34.4,
USGS,USGS 5427850,9/22/2002,46.1,24.3,
USGS,USGS 5427850,9/23/2002,20,7.12,
USGS,USGS 5427850,9/24/2002,49.1,25.2,
USGS,USGS 5427850,9/25/2002,42.6,21.9,
USGS,USGS 5427850,9/26/2002,51,25.5,
USGS,USGS 5427850,9/27/2002,20.4,10.1,
USGS,USGS 5427850,9/28/2002,35.2,17.3,
USGS,USGS 5427850,9/29/2002,20,9.86,
USGS,USGS 5427850,9/30/2002,12.8,6.37,
USGS,USGS 5427850,10/1/2002,71.3,28.4,
USGS,USGS 5427850,10/2/2002,69.5,27.3,
USGS,USGS 5427850,10/3/2002,30.7,11.2,
USGS,USGS 5427850,10/4/2002,48.1,16.1,
USGS,USGS 5427850,10/5/2002,134,43.7,
USGS,USGS 5427850,10/6/2002,47.6,15.5,
USGS,USGS 5427850,10/7/2002,69.3,22.3,
USGS,USGS 5427850,10/8/2002,55.4,17.7,
USGS,USGS 5427850,10/9/2002,51.3,16.2,
USGS,USGS 5427850,10/10/2002,43.1,13.5,
USGS,USGS 5427850,10/11/2002,44.1,13.6,
USGS,USGS 5427850,10/12/2002,45.4,13.8,
USGS,USGS 5427850,10/13/2002,48.3,14.4,
USGS,USGS 5427850,10/14/2002,22.4,6.62,
USGS,USGS 5427850,10/15/2002,69.9,20.3,
USGS,USGS 5427850,10/16/2002,39.4,11.2,
USGS,USGS 5427850,10/17/2002,44.2,12,
USGS,USGS 5427850,10/18/2002,27.2,7.08,
USGS,USGS 5427850,10/19/2002,75.5,18.7,
USGS,USGS 5427850,10/20/2002,57.6,13.7,
USGS,USGS 5427850,10/21/2002,44.1,10,
USGS,USGS 5427850,10/22/2002,63.5,13.8,
USGS,USGS 5427850,10/23/2002,34.8,7.52,
USGS,USGS 5427850,10/24/2002,39.9,8.62,
USGS,USGS 5427850,10/25/2002,46.7,10.1,
USGS,USGS 5427850,10/26/2002,53.4,11.5,
USGS,USGS 5427850,10/27/2002,60.8,13.1,
USGS,USGS 5427850,10/28/2002,58.9,12.7,
USGS,USGS 5427850,10/29/2002,58.7,12.7,
USGS,USGS 5427850,10/30/2002,44.7,9.66,
USGS,USGS 5427850,10/31/2002,46.7,10.1,
USGS,USGS 5427850,11/1/2002,40.7,8.78,
USGS,USGS 5427850,11/2/2002,71.9,15.5,
USGS,USGS 5427850,11/3/2002,40.6,8.78,
USGS,USGS 5427850,11/4/2002,70.4,15.2,
USGS,USGS 5427850,11/5/2002,56.3,12.2,
USGS,USGS 5427850,11/6/2002,58.7,12.7,
USGS,USGS 5427850,11/7/2002,10.4,2.25,
USGS,USGS 5427850,11/8/2002,95.2,20.1,
USGS,USGS 5427850,11/9/2002,47.9,10,
USGS,USGS 5427850,11/10/2002,63.9,13.2,
USGS,USGS 5427850,11/11/2002,87.4,17.9,
USGS,USGS 5427850,11/12/2002,72.7,14.7,
USGS,USGS 5427850,11/13/2002,57.7,11.6,
USGS,USGS 5427850,11/14/2002,88.5,17.5,
USGS,USGS 5427850,11/15/2002,57.1,11.2,
USGS,USGS 5427850,11/16/2002,51.7,10,
USGS,USGS 5427850,11/17/2002,46.3,8.88,
USGS,USGS 5427850,11/18/2002,52.6,9.98,
USGS,USGS 5427850,11/19/2002,54,10.1,
USGS,USGS 5427850,11/20/2002,59.4,11,
USGS,USGS 5427850,11/21/2002,58.6,10.8,
USGS,USGS 5427850,11/22/2002,36.2,6.59,
USGS,USGS 5427850,11/23/2002,58.4,10.5,
USGS,USGS 5427850,11/24/2002,58.2,10.3,
USGS,USGS 5427850,11/25/2002,47.5,8.36,
USGS,USGS 5427850,11/26/2002,46.2,8.04,
USGS,USGS 5427850,11/27/2002,41.6,7.16,
USGS,USGS 5427850,11/28/2002,35.7,6.08,
USGS,USGS 5427850,11/29/2002,60,10.1,
USGS,USGS 5427850,11/30/2002,54.3,9.05,
USGS,USGS 5427850,12/1/2002,39.5,6.51,
USGS,USGS 5427850,12/2/2002,49.5,8.07,
USGS,USGS 5427850,12/3/2002,28.8,4.66,
USGS,USGS 5427850,12/4/2002,35.3,5.63,
USGS,USGS 5427850,12/5/2002,38.3,6.04,
USGS,USGS 5427850,12/6/2002,32.4,5.06,
USGS,USGS 5427850,12/7/2002,46.5,7.17,
USGS,USGS 5427850,12/8/2002,36.4,5.57,
USGS,USGS 5427850,12/9/2002,31.6,4.78,
USGS,USGS 5427850,12/10/2002,41.9,6.26,
USGS,USGS 5427850,12/11/2002,39.8,5.89,
USGS,USGS 5427850,12/12/2002,44.7,6.54,
USGS,USGS 5427850,12/13/2002,48.6,7.04,
USGS,USGS 5427850,12/14/2002,43.7,6.26,
USGS,USGS 5427850,12/15/2002,63.6,9.01,
USGS,USGS 5427850,12/16/2002,38.6,5.42,
USGS,USGS 5427850,12/17/2002,46.5,6.45,
USGS,USGS 5427850,12/18/2002,61.1,8.38,
USGS,USGS 5427850,12/19/2002,75.5,10.2,
USGS,USGS 5427850,12/20/2002,53.1,7.13,
USGS,USGS 5427850,12/21/2002,57.9,7.69,
USGS,USGS 5427850,12/22/2002,33.8,4.44,
USGS,USGS 5427850,12/23/2002,46.7,6.07,
USGS,USGS 5427850,12/24/2002,43.1,5.54,
USGS,USGS 5427850,12/25/2002,43.4,5.52,
USGS,USGS 5427850,12/26/2002,40.9,5.15,
USGS,USGS 5427850,12/27/2002,42.1,5.24,
USGS,USGS 5427850,12/28/2002,54.6,6.72,
USGS,USGS 5427850,12/29/2002,51.9,6.32,
USGS,USGS 5427850,12/30/2002,49.5,5.96,
USGS,USGS 5427850,12/31/2002,52,6.19,
USGS,USGS 5427850,1/1/2003,41.2,4.86,
USGS,USGS 5427850,1/2/2003,41.1,4.79,
USGS,USGS 5427850,1/3/2003,38.1,4.4,
USGS,USGS 5427850,1/4/2003,43.3,4.95,
USGS,USGS 5427850,1/5/2003,48.9,5.52,
USGS,USGS 5427850,1/6/2003,40.9,4.57,
USGS,USGS 5427850,1/7/2003,46.5,5.14,
USGS,USGS 5427850,1/8/2003,43.3,4.73,
USGS,USGS 5427850,1/9/2003,46.1,4.99,
USGS,USGS 5427850,1/10/2003,30.8,3.3,
USGS,USGS 5427850,1/11/2003,30.7,3.25,
USGS,USGS 5427850,1/12/2003,41.4,4.33,
USGS,USGS 5427850,1/13/2003,38.7,4.01,
USGS,USGS 5427850,1/14/2003,32.2,3.3,
USGS,USGS 5427850,1/15/2003,29.7,3.01,
USGS,USGS 5427850,1/16/2003,39.6,3.96,
USGS,USGS 5427850,1/17/2003,32.9,3.26,
USGS,USGS 5427850,1/18/2003,34.9,3.42,
USGS,USGS 5427850,1/19/2003,28.6,2.78,
USGS,USGS 5427850,1/20/2003,35.5,3.41,
USGS,USGS 5427850,1/21/2003,29.7,2.82,
USGS,USGS 5427850,1/22/2003,27.8,2.61,
USGS,USGS 5427850,1/23/2003,22,2.05,
USGS,USGS 5427850,1/24/2003,21.8,2,
USGS,USGS 5427850,1/25/2003,25.9,2.36,
USGS,USGS 5427850,1/26/2003,29.7,2.67,
USGS,USGS 5427850,1/27/2003,22.8,2.03,
USGS,USGS 5427850,1/28/2003,28.1,2.48,
USGS,USGS 5427850,1/29/2003,28.3,2.47,
USGS,USGS 5427850,1/30/2003,30.5,2.63,
USGS,USGS 5427850,1/31/2003,38.9,3.32,
USGS,USGS 5427850,2/1/2003,38.5,3.25,
USGS,USGS 5427850,2/2/2003,29.4,2.46,
USGS,USGS 5427850,2/3/2003,28.2,2.33,
USGS,USGS 5427850,2/4/2003,35.6,2.9,
USGS,USGS 5427850,2/5/2003,33.8,2.73,
USGS,USGS 5427850,2/6/2003,35.7,2.85,
USGS,USGS 5427850,2/7/2003,29.3,2.32,
USGS,USGS 5427850,2/8/2003,33.7,2.63,
