# ---------------------------------- WARNING ----------------------------------------,,,,,,,,,,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,,,,,,,,,,
# may not have received Director's approval. Any such data values are qualified,,,,,,,,,,,,
# as provisional and are subject to revision. Provisional data are released on the,,,,,,,,,,,,
# condition that neither the USGS nor the United States Government may be held liable,,,,,,,,,,,,
# for any damages resulting from its use.,,,,,,,,,,,,
#,,,,,,,,,,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,,,,,,,,,
#,,,,,,,,,,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,,,,,,,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,,,,,,,,,
#,,,,,,,,,,,,
# Contact:   gs-w_waterdata_support@usgs.gov,,,,,,,,,,,,
# retrieved: 2023-04-12 15:50:48 EDT       (sdww01),,,,,,,,,,,,
#,,,,,,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,,,,,,
"#    USGS 05427850 YAHARA RIVER AT STATE HIGHWAY 113 AT MADISON, WI",,,,,,,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,,,,,,
#,,,,,,,,,,,,
# Data provided for site 05427850,,,,,,,,,,,,
#            TS   parameter     statistic     Description,,,,,,,,,,,,
"#        154921       00060     00003     Discharge, cubic feet per second (Mean)",,,,,,,,,,,,
"#        223623       00671     00003     Orthophosphate, water, filtered, milligrams per liter as phosphorus (Mean)",,,,,,,,,,,,
"#        223624       91050     00003     Phosphorus, water, unfiltered, pounds of phosphorus per day (Mean)",,,,,,,,,,,,
"#        223625       00665     00003     Phosphorus, water, unfiltered, milligrams per liter as phosphorus (Mean)",,,,,,,,,,,,
"#        232446       91060     00003     Orthophosphate, water, dissolved, pounds per day (Mean)",,,,,,,,,,,,
#,,,,,,,,,,,,
# Data-value qualification codes included in this output:,,,,,,,,,,,,
#        ,,,,,,,,,,,,
#     A  Approved for publication -- Processing and review completed.,,,,,,,,,,,,
#     P  Provisional data subject to revision.,,,,,,,,,,,,
#     e  Value has been estimated.,,,,,,,,,,,,
# ,,,,,,,,,,,,
agency_cd,site_no,sampledate,"Discharge, cubic feet per second (Mean)",154921_00060_00003_cd,"Orthophosphate, water, filtered, milligrams per liter as phosphorus (Mean)",223623_00671_00003_cd,"Phosphorus, water, unfiltered, pounds of phosphorus per day (Mean)",223624_91050_00003_cd,"Phosphorus, water, unfiltered, milligrams per liter as phosphorus (Mean)",223625_00665_00003_cd,"Orthophosphate, water, dissolved, pounds per day (Mean)",232446_91060_00003_cd
USGS,5427850,2/4/2002,44,A:e,11.2,A,,,,,,
USGS,5427850,2/5/2002,46,A:e,11.8,A,,,,,,
USGS,5427850,2/6/2002,40.2,A,10.4,A,,,,,,
USGS,5427850,2/7/2002,44.7,A,11.7,A,,,,,,
USGS,5427850,2/8/2002,48.2,A,12.6,A,,,,,,
USGS,5427850,2/9/2002,56.2,A,14.7,A,,,,,,
USGS,5427850,2/10/2002,71,A,18.7,A,,,,,,
USGS,5427850,2/11/2002,39.5,A,6.31,A,,,,,,
USGS,5427850,2/12/2002,82.8,A,22.1,A,,,,,,
USGS,5427850,2/13/2002,36.9,A,10.2,A,,,,,,
USGS,5427850,2/14/2002,42.1,A,11.6,A,,,,,,
USGS,5427850,2/15/2002,76.8,A,21.1,A,,,,,,
USGS,5427850,2/16/2002,66.4,A,18.3,A,,,,,,
USGS,5427850,2/17/2002,47.7,A,13.6,A,,,,,,
USGS,5427850,2/18/2002,50.1,A,14.3,A,,,,,,
USGS,5427850,2/19/2002,116,A,32.6,A,,,,,,
USGS,5427850,2/20/2002,176,A,49.1,A,,,,,,
USGS,5427850,2/21/2002,206,A,57.7,A,,,,,,
USGS,5427850,2/22/2002,116,A,33.5,A,,,,,,
USGS,5427850,2/23/2002,74.2,A,21.9,A,,,,,,
USGS,5427850,2/24/2002,96.9,A,28.8,A,,,,,,
USGS,5427850,2/25/2002,100,A,78.2,A,,,,,,
USGS,5427850,2/26/2002,68.6,A,21.2,A,,,,,,
USGS,5427850,2/27/2002,70.2,A,21.7,A,,,,,,
USGS,5427850,2/28/2002,66.1,A,20.7,A,,,,,,
USGS,5427850,3/1/2002,60.9,A,19.4,A,,,,,,
USGS,5427850,3/2/2002,66.6,A,21.5,A,,,,,,
USGS,5427850,3/3/2002,48.3,A,15.7,A,,,,,,
USGS,5427850,3/4/2002,54,A,17.8,A,,,,,,
USGS,5427850,3/5/2002,52.6,A,17.7,A,,,,,,
USGS,5427850,3/6/2002,54.3,A,18.2,A,,,,,,
USGS,5427850,3/7/2002,55.9,A,19.1,A,,,,,,
USGS,5427850,3/8/2002,77.3,A,26.3,A,,,,,,
USGS,5427850,3/9/2002,148,A,50,A,,,,,,
USGS,5427850,3/10/2002,157,A,53.5,A,,,,,,
USGS,5427850,3/11/2002,96.8,A,45.5,A,,,,,,
USGS,5427850,3/12/2002,78,A,27.9,A,,,,,,
USGS,5427850,3/13/2002,87.2,A,31.4,A,,,,,,
USGS,5427850,3/14/2002,101,A,36.7,A,,,,,,
USGS,5427850,3/15/2002,65.1,A,24.2,A,,,,,,
USGS,5427850,3/16/2002,72.9,A,27.5,A,,,,,,
USGS,5427850,3/17/2002,68.8,A,26.3,A,,,,,,
USGS,5427850,3/18/2002,68.4,A,26.3,A,,,,,,
USGS,5427850,3/19/2002,70.8,A,27.7,A,,,,,,
USGS,5427850,3/20/2002,58.5,A,23.1,A,,,,,,
USGS,5427850,3/21/2002,79.8,A,31.9,A,,,,,,
USGS,5427850,3/22/2002,63.2,A,25.6,A,,,,,,
USGS,5427850,3/23/2002,81.7,A,33.5,A,,,,,,
USGS,5427850,3/24/2002,119,A,48.6,A,,,,,,
USGS,5427850,3/25/2002,22.9,A,9.96,A,,,,,,
USGS,5427850,3/26/2002,45.8,A,19.9,A,,,,,,
USGS,5427850,3/27/2002,38,A,16.7,A,,,,,,
USGS,5427850,3/28/2002,80,A,34.8,A,,,,,,
USGS,5427850,3/29/2002,67.5,A,29.7,A,,,,,,
USGS,5427850,3/30/2002,55.6,A,25.3,A,,,,,,
USGS,5427850,3/31/2002,73.6,A,33.5,A,,,,,,
USGS,5427850,4/1/2002,74.7,A,34.4,A,,,,,,
USGS,5427850,4/2/2002,62.9,A,29.4,A,,,,,,
USGS,5427850,4/3/2002,61.4,A,28.9,A,,,,,,
USGS,5427850,4/4/2002,64.1,A,30.6,A,,,,,,
USGS,5427850,4/5/2002,65.6,A,32,A,,,,,,
USGS,5427850,4/6/2002,30.7,A,15.5,A,,,,,,
USGS,5427850,4/7/2002,82.6,A,40.9,A,,,,,,
USGS,5427850,4/8/2002,170,A,55,A,,,,,,
USGS,5427850,4/9/2002,183,A,51.3,A,,,,,,
USGS,5427850,4/10/2002,122,A,61.7,A,,,,,,
USGS,5427850,4/11/2002,97,A,50,A,,,,,,
USGS,5427850,4/12/2002,119,A,61.7,A,,,,,,
USGS,5427850,4/13/2002,85.3,A,45.1,A,,,,,,
USGS,5427850,4/14/2002,74.8,A,40.5,A,,,,,,
USGS,5427850,4/15/2002,60.6,A,33.5,A,,,,,,
USGS,5427850,4/16/2002,59,A,32.9,A,,,,,,
USGS,5427850,4/17/2002,95.6,A,53.3,A,,,,,,
USGS,5427850,4/18/2002,41.3,A,23.6,A,,,,,,
USGS,5427850,4/19/2002,107,A,60.7,A,,,,,,
USGS,5427850,4/20/2002,66.3,A,38.5,A,,,,,,
USGS,5427850,4/21/2002,64.6,A,38.4,A,,,,,,
USGS,5427850,4/22/2002,64.6,A,48.4,A,,,,,,
USGS,5427850,4/23/2002,63.8,A,38.7,A,,,,,,
USGS,5427850,4/24/2002,64.4,A,39.1,A,,,,,,
USGS,5427850,4/25/2002,78.7,A,48.5,A,,,,,,
USGS,5427850,4/26/2002,80.9,A,50.3,A,,,,,,
USGS,5427850,4/27/2002,83.1,A,52.1,A,,,,,,
USGS,5427850,4/28/2002,84.8,A,53.9,A,,,,,,
USGS,5427850,4/29/2002,67.3,A,44.1,A,,,,,,
USGS,5427850,4/30/2002,85.1,A,55.1,A,,,,,,
USGS,5427850,5/1/2002,83.1,A,54.5,A,,,,,,
USGS,5427850,5/2/2002,71.8,A,48,A,,,,,,
USGS,5427850,5/3/2002,84.1,A,56.3,A,,,,,,
USGS,5427850,5/4/2002,62.6,A,43.1,A,,,,,,
USGS,5427850,5/5/2002,61.3,A,42.2,A,,,,,,
USGS,5427850,5/6/2002,68,A,47.4,A,,,,,,
USGS,5427850,5/7/2002,87.5,A,61.4,A,,,,,,
USGS,5427850,5/8/2002,45,A,32.4,A,,,,,,
USGS,5427850,5/9/2002,73,A,78.4,A,,,,,,
USGS,5427850,5/10/2002,145,A,102,A,,,,,,
USGS,5427850,5/11/2002,87.3,A,63.2,A,,,,,,
USGS,5427850,5/12/2002,178,A,127,A,,,,,,
USGS,5427850,5/13/2002,136,A,99.2,A,,,,,,
USGS,5427850,5/14/2002,93.7,A,70.1,A,,,,,,
USGS,5427850,5/15/2002,41.4,A,31.6,A,,,,,,
USGS,5427850,5/16/2002,104,A,78.7,A,,,,,,
USGS,5427850,5/17/2002,68.9,A,59.9,A,,,,,,
USGS,5427850,5/18/2002,66.6,A,52.4,A,,,,,,
USGS,5427850,5/19/2002,69.8,A,55.1,A,,,,,,
USGS,5427850,5/20/2002,51.7,A,41.6,A,,,,,,
USGS,5427850,5/21/2002,58.1,A,46.7,A,,,,,,
USGS,5427850,5/22/2002,37,A,30.4,A,,,,,,
USGS,5427850,5/23/2002,88.1,A,71.1,A,,,,,,
USGS,5427850,5/24/2002,66.6,A,55,A,,,,,,
USGS,5427850,5/25/2002,59.5,A,49.8,A,,,,,,
USGS,5427850,5/26/2002,65,A,54.2,A,,,,,,
USGS,5427850,5/27/2002,75.4,A,62.7,A,,,,,,
USGS,5427850,5/28/2002,49.5,A,42.6,A,,,,,,
USGS,5427850,5/29/2002,98.7,A,83.2,A,,,,,,
USGS,5427850,5/30/2002,45.8,A,39.8,A,,,,,,
USGS,5427850,5/31/2002,87.5,A,74.4,A,,,,,,
USGS,5427850,6/1/2002,60.1,A,52.3,A,,,,,,
USGS,5427850,6/2/2002,72.2,A,62.8,A,,,,,,
USGS,5427850,6/3/2002,126,A,98,A,,,,,,
USGS,5427850,6/4/2002,226,A,172,A,,,,,,
USGS,5427850,6/5/2002,257,A,164,A,,,,,,
USGS,5427850,6/6/2002,146,A,130,A,,,,,,
USGS,5427850,6/7/2002,90.4,A,70.9,A,,,,,,
USGS,5427850,6/8/2002,95.8,A,85.7,A,,,,,,
USGS,5427850,6/9/2002,70,A,63.4,A,,,,,,
USGS,5427850,6/10/2002,42.6,A,39.7,A,,,,,,
USGS,5427850,6/11/2002,104,A,93.9,A,,,,,,
USGS,5427850,6/12/2002,98.4,A,89,A,,,,,,
USGS,5427850,6/13/2002,66,A,61,A,,,,,,
USGS,5427850,6/14/2002,68.7,A,63.9,A,,,,,,
USGS,5427850,6/15/2002,74.3,A,68.6,A,,,,,,
USGS,5427850,6/16/2002,68.1,A,63.5,A,,,,,,
USGS,5427850,6/17/2002,71.1,A,66.4,A,,,,,,
USGS,5427850,6/18/2002,61.5,A,58.4,A,,,,,,
USGS,5427850,6/19/2002,49.8,A,34.8,A,,,,,,
USGS,5427850,6/20/2002,73.2,A,68.8,A,,,,,,
USGS,5427850,6/21/2002,57.4,A,54.2,A,,,,,,
USGS,5427850,6/22/2002,45.1,A,43.2,A,,,,,,
USGS,5427850,6/23/2002,61.3,A,58.2,A,,,,,,
USGS,5427850,6/24/2002,49,A,47.1,A,,,,,,
USGS,5427850,6/25/2002,33.9,A,33,A,,,,,,
USGS,5427850,6/26/2002,58.2,A,55.7,A,,,,,,
USGS,5427850,6/27/2002,48.8,A,47.3,A,,,,,,
USGS,5427850,6/28/2002,50.1,A,48.3,A,,,,,,
USGS,5427850,6/29/2002,38.2,A,37,A,,,,,,
USGS,5427850,6/30/2002,35.8,A:e,35.1,A,,,,,,
USGS,5427850,7/1/2002,38.3,A:e,37,A,,,,,,
USGS,5427850,7/2/2002,38.3,A:e,37,A,,,,,,
USGS,5427850,7/3/2002,38.3,A:e,32.6,A,,,,,,
USGS,5427850,7/4/2002,35,A:e,34.2,A,,,,,,
USGS,5427850,7/5/2002,39.5,A:e,38.9,A,,,,,,
USGS,5427850,7/6/2002,35,A:e,34.1,A,,,,,,
USGS,5427850,7/7/2002,32.5,A:e,32.2,A,,,,,,
USGS,5427850,7/8/2002,32.1,A:e,31.2,A,,,,,,
USGS,5427850,7/9/2002,62.4,A,59.3,A,,,,,,
USGS,5427850,7/10/2002,55.5,A,52.7,A,,,,,,
USGS,5427850,7/11/2002,33.7,A,32.9,A,,,,,,
USGS,5427850,7/12/2002,38,A,36.6,A,,,,,,
USGS,5427850,7/13/2002,43.4,A,41.2,A,,,,,,
USGS,5427850,7/14/2002,42.7,A,41.1,A,,,,,,
USGS,5427850,7/15/2002,38.9,A,47.1,A,,,,,,
USGS,5427850,7/16/2002,34.9,A,33.5,A,,,,,,
USGS,5427850,7/17/2002,45.2,A,42.6,A,,,,,,
USGS,5427850,7/18/2002,48.1,A,45.2,A,,,,,,
USGS,5427850,7/19/2002,34.3,A,32.2,A,,,,,,
USGS,5427850,7/20/2002,37.1,A,34.9,A,,,,,,
USGS,5427850,7/21/2002,26.5,A,25.5,A,,,,,,
USGS,5427850,7/22/2002,78.7,A,72.3,A,,,,,,
USGS,5427850,7/23/2002,49.2,A,45.3,A,,,,,,
USGS,5427850,7/24/2002,42.9,A,39.7,A,,,,,,
USGS,5427850,7/25/2002,42,A,38.6,A,,,,,,
USGS,5427850,7/26/2002,69.9,A,82,A,,,,,,
USGS,5427850,7/27/2002,38,A,34.7,A,,,,,,
USGS,5427850,7/28/2002,50.4,A,45.1,A,,,,,,
USGS,5427850,7/29/2002,58.1,A,51.8,A,,,,,,
USGS,5427850,7/30/2002,37.8,A,37.5,A,,,,,,
USGS,5427850,7/31/2002,36.9,A,33.1,A,,,,,,
USGS,5427850,8/1/2002,58.5,A,51.7,A,,,,,,
USGS,5427850,8/2/2002,39.7,A,35.2,A,,,,,,
USGS,5427850,8/3/2002,38.3,A,33.3,A,,,,,,
USGS,5427850,8/4/2002,50.3,A,43.2,A,,,,,,
USGS,5427850,8/5/2002,53.1,A,45.4,A,,,,,,
USGS,5427850,8/6/2002,38.2,A,32.6,A,,,,,,
USGS,5427850,8/7/2002,37.2,A,31.6,A,,,,,,
USGS,5427850,8/8/2002,39.1,A,33,A,,,,,,
USGS,5427850,8/9/2002,35.6,A,33.8,A,,,,,,
USGS,5427850,8/10/2002,34.7,A,29.2,A,,,,,,
USGS,5427850,8/11/2002,38.4,A,31.4,A,,,,,,
USGS,5427850,8/12/2002,36,A,29.6,A,,,,,,
USGS,5427850,8/13/2002,56.4,A,45.1,A,,,,,,
USGS,5427850,8/14/2002,29.3,A,29.1,A,,,,,,
USGS,5427850,8/15/2002,36.9,A,29.6,A,,,,,,
USGS,5427850,8/16/2002,56.5,A,44.8,A,,,,,,
USGS,5427850,8/17/2002,51.3,A,39.8,A,,,,,,
USGS,5427850,8/18/2002,51.5,A,40.2,A,,,,,,
USGS,5427850,8/19/2002,40.2,A,30.9,A,,,,,,
USGS,5427850,8/20/2002,34.7,A,26.9,A,,,,,,
USGS,5427850,8/21/2002,31.8,A,24.4,A,,,,,,
USGS,5427850,8/22/2002,76,A,56.2,A,,,,,,
USGS,5427850,8/23/2002,55.5,A,41,A,,,,,,
USGS,5427850,8/24/2002,39.5,A,19.4,A,,,,,,
USGS,5427850,8/25/2002,44.4,A,32,A,,,,,,
USGS,5427850,8/26/2002,37.6,A,27.5,A,,,,,,
USGS,5427850,8/27/2002,39.4,A,27.9,A,,,,,,
USGS,5427850,8/28/2002,32.8,A,21.5,A,,,,,,
USGS,5427850,8/29/2002,39.9,A,28,A,,,,,,
USGS,5427850,8/30/2002,37.6,A,26.3,A,,,,,,
USGS,5427850,8/31/2002,38.5,A,26.1,A,,,,,,
USGS,5427850,9/1/2002,26.8,A,18.5,A,,,,,,
USGS,5427850,9/2/2002,32.3,A,21.6,A,,,,,,
USGS,5427850,9/3/2002,75.2,A,42.9,A,,,,,,
USGS,5427850,9/4/2002,39.3,A,25.6,A,,,,,,
USGS,5427850,9/5/2002,32.2,A,20.9,A,,,,,,
USGS,5427850,9/6/2002,43.7,A,28.1,A,,,,,,
USGS,5427850,9/7/2002,42.8,A,27.2,A,,,,,,
USGS,5427850,9/8/2002,34.6,A,22,A,,,,,,
USGS,5427850,9/9/2002,34.5,A,21.8,A,,,,,,
USGS,5427850,9/10/2002,48.6,A,20.4,A,,,,,,
USGS,5427850,9/11/2002,36.9,A,22.4,A,,,,,,
USGS,5427850,9/12/2002,34.6,A,21,A,,,,,,
USGS,5427850,9/13/2002,36.6,A,21.9,A,,,,,,
USGS,5427850,9/14/2002,48.8,A,28.5,A,,,,,,
USGS,5427850,9/15/2002,35.8,A,20.8,A,,,,,,
USGS,5427850,9/16/2002,36.7,A,21.1,A,,,,,,
USGS,5427850,9/17/2002,39.4,A,22,A,,,,,,
USGS,5427850,9/18/2002,37.9,A,21.2,A,,,,,,
USGS,5427850,9/19/2002,42.5,A,16.7,A,,,,,,
USGS,5427850,9/20/2002,34.3,A,18.5,A,,,,,,
USGS,5427850,9/21/2002,64.8,A,34.4,A,,,,,,
USGS,5427850,9/22/2002,46.1,A,24.3,A,,,,,,
USGS,5427850,9/23/2002,20,A,7.12,A,,,,,,
USGS,5427850,9/24/2002,49.1,A,25.2,A,,,,,,
USGS,5427850,9/25/2002,42.6,A,21.9,A,,,,,,
USGS,5427850,9/26/2002,51,A,25.5,A,,,,,,
USGS,5427850,9/27/2002,20.4,A,10.1,A,,,,,,
USGS,5427850,9/28/2002,35.2,A,17.3,A,,,,,,
USGS,5427850,9/29/2002,20,A,9.86,A,,,,,,
USGS,5427850,9/30/2002,12.8,A,6.37,A,,,,,,
USGS,5427850,10/1/2002,71.3,A,28.4,A,,,,,,
USGS,5427850,10/2/2002,69.5,A,27.3,A,,,,,,
USGS,5427850,10/3/2002,30.7,A,11.2,A,,,,,,
USGS,5427850,10/4/2002,48.1,A,16.1,A,,,,,,
USGS,5427850,10/5/2002,134,A,43.7,A,,,,,,
USGS,5427850,10/6/2002,47.6,A,15.5,A,,,,,,
USGS,5427850,10/7/2002,69.3,A,22.3,A,,,,,,
USGS,5427850,10/8/2002,55.4,A,17.7,A,,,,,,
USGS,5427850,10/9/2002,51.3,A,16.2,A,,,,,,
USGS,5427850,10/10/2002,43.1,A,13.5,A,,,,,,
USGS,5427850,10/11/2002,44.1,A,13.6,A,,,,,,
USGS,5427850,10/12/2002,45.4,A,13.8,A,,,,,,
USGS,5427850,10/13/2002,48.3,A,14.4,A,,,,,,
USGS,5427850,10/14/2002,22.4,A,6.62,A,,,,,,
USGS,5427850,10/15/2002,69.9,A,20.3,A,,,,,,
USGS,5427850,10/16/2002,39.4,A,11.2,A,,,,,,
USGS,5427850,10/17/2002,44.2,A,12,A,,,,,,
USGS,5427850,10/18/2002,27.2,A,7.08,A,,,,,,
USGS,5427850,10/19/2002,75.5,A,18.7,A,,,,,,
USGS,5427850,10/20/2002,57.6,A,13.7,A,,,,,,
USGS,5427850,10/21/2002,44.1,A,10,A,,,,,,
USGS,5427850,10/22/2002,63.5,A,13.8,A,,,,,,
USGS,5427850,10/23/2002,34.8,A,7.52,A,,,,,,
USGS,5427850,10/24/2002,39.9,A,8.62,A,,,,,,
USGS,5427850,10/25/2002,46.7,A,10.1,A,,,,,,
USGS,5427850,10/26/2002,53.4,A,11.5,A,,,,,,
USGS,5427850,10/27/2002,60.8,A,13.1,A,,,,,,
USGS,5427850,10/28/2002,58.9,A,12.7,A,,,,,,
USGS,5427850,10/29/2002,58.7,A,12.7,A,,,,,,
USGS,5427850,10/30/2002,44.7,A,9.66,A,,,,,,
USGS,5427850,10/31/2002,46.7,A,10.1,A,,,,,,
USGS,5427850,11/1/2002,40.7,A,8.78,A,,,,,,
USGS,5427850,11/2/2002,71.9,A,15.5,A,,,,,,
USGS,5427850,11/3/2002,40.6,A,8.78,A,,,,,,
USGS,5427850,11/4/2002,70.4,A,15.2,A,,,,,,
USGS,5427850,11/5/2002,56.3,A,12.2,A,,,,,,
USGS,5427850,11/6/2002,58.7,A,12.7,A,,,,,,
USGS,5427850,11/7/2002,10.4,A,2.25,A,,,,,,
USGS,5427850,11/8/2002,95.2,A,20.1,A,,,,,,
USGS,5427850,11/9/2002,47.9,A,10,A,,,,,,
USGS,5427850,11/10/2002,63.9,A,13.2,A,,,,,,
USGS,5427850,11/11/2002,87.4,A,17.9,A,,,,,,
USGS,5427850,11/12/2002,72.7,A,14.7,A,,,,,,
USGS,5427850,11/13/2002,57.7,A,11.6,A,,,,,,
USGS,5427850,11/14/2002,88.5,A,17.5,A,,,,,,
USGS,5427850,11/15/2002,57.1,A,11.2,A,,,,,,
USGS,5427850,11/16/2002,51.7,A,10,A,,,,,,
USGS,5427850,11/17/2002,46.3,A,8.88,A,,,,,,
USGS,5427850,11/18/2002,52.6,A,9.98,A,,,,,,
USGS,5427850,11/19/2002,54,A,10.1,A,,,,,,
USGS,5427850,11/20/2002,59.4,A,11,A,,,,,,
USGS,5427850,11/21/2002,58.6,A,10.8,A,,,,,,
USGS,5427850,11/22/2002,36.2,A,6.59,A,,,,,,
USGS,5427850,11/23/2002,58.4,A,10.5,A,,,,,,
USGS,5427850,11/24/2002,58.2,A,10.3,A,,,,,,
USGS,5427850,11/25/2002,47.5,A,8.36,A,,,,,,
USGS,5427850,11/26/2002,46.2,A,8.04,A,,,,,,
USGS,5427850,11/27/2002,41.6,A,7.16,A,,,,,,
USGS,5427850,11/28/2002,35.7,A,6.08,A,,,,,,
USGS,5427850,11/29/2002,60,A,10.1,A,,,,,,
USGS,5427850,11/30/2002,54.3,A,9.05,A,,,,,,
USGS,5427850,12/1/2002,39.5,A,6.51,A,,,,,,
USGS,5427850,12/2/2002,49.5,A,8.07,A,,,,,,
USGS,5427850,12/3/2002,28.8,A,4.66,A,,,,,,
USGS,5427850,12/4/2002,35.3,A,5.63,A,,,,,,
USGS,5427850,12/5/2002,38.3,A,6.04,A,,,,,,
USGS,5427850,12/6/2002,32.4,A,5.06,A,,,,,,
USGS,5427850,12/7/2002,46.5,A,7.17,A,,,,,,
USGS,5427850,12/8/2002,36.4,A,5.57,A,,,,,,
USGS,5427850,12/9/2002,31.6,A,4.78,A,,,,,,
USGS,5427850,12/10/2002,41.9,A,6.26,A,,,,,,
